职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求
同花顺-电话销售-人工智能,人工智能,6000.0,浙江核新同花顺网络信息股份有限公司,杭州,1,大专,
赛事运营总监/经理-人工智能竞赛,人工智能,20000.0,南京善道智能科技有限公司,南京,5,本科,
人工智能-图像识别工程师,人工智能,17500.0,成都拓尔思信息技术有限公司,成都,1,硕士,
人工智能,人工智能,22500.0,上海知墨教育科技有限公司,上海,0,本科,
大数据挖掘/人工智能/神经网络算法工程师,人工智能,30000.0,即科金融信息服务（上海）有限公司,上海,1,本科,
人工智能及大数据研发工程师,人工智能,15000.0,广州多益网络股份有限公司,广州,0,本科,
DSQ-人工智能与机器学习资深工程师,人工智能,40000.0,顺丰科技有限公司,深圳,3,硕士,
智能-推荐算法专家,人工智能,50000.0,北京三快在线科技有限公司,北京,5,硕士,
人工智能/机器人研发工程师,人工智能,12500.0,宁波工业互联网研究院有限公司,宁波,1,本科,
人工智能/机器学习专家,人工智能,20000.0,泰康在线财产保险股份有限公司,武汉,3,硕士,
人工智能及大数据研究员,人工智能,32500.0,北京麒麟心通网络技术有限公司,北京,0,硕士,
数据分析专员-人工智能方向,人工智能,8000.0,上海麦图信息科技有限公司,上海,0,大专,
大数据架构师-人工智能方向,人工智能,40000.0,仟金顶网络科技有限公司,杭州,3,本科,
产品经理-人工智能,人工智能,22500.0,香格里拉饭店管理（上海）有限公司北京分公司,北京,5,本科,
人工智能工程师（高级）,人工智能,22500.0,鲁班嫡系机器人（深圳）有限公司,深圳,1,本科,
大数据挖掘/人工智能/神经网络算法工程师,人工智能,30000.0,即科金融信息服务（上海）有限公司,上海,1,硕士,
DSJ-人工智能与机器学习工程师,人工智能,37500.0,顺丰科技有限公司,深圳,3,本科,
产品经理/人工智能领域,人工智能,22500.0,上海悠络客电子科技股份有限公司,上海,1,本科,
语音合成算法工程师 (TTS)-人工智能方向,人工智能,22500.0,乐融致新电子科技（北京）有限公司,北京,3,本科,
人工智能训练师,人工智能,14000.0,竹间智能科技（上海）有限公司,上海,1,本科,
人工智能训练师,人工智能,15000.0,杭州一知智能科技有限公司,杭州,3,本科,
人工智能-图像识别实习生,人工智能,9000.0,成都拓尔思信息技术有限公司,成都,0,硕士,
人工智能研究员,人工智能,45000.0,广东星舆科技有限公司,广州,0,博士,
人工智能工程师,人工智能,10500.0,成都安舟信息技术有限公司,成都,1,硕士,
人工智能训练师02-14-04,人工智能,10500.0,杭州大搜车汽车服务有限公司,杭州,1,本科,
人工智能研究员,人工智能,20000.0,北大方正信息产业集团有限公司,北京,3,硕士,
人工智能,人工智能,18000.0,南宁杰普计算机科技有限公司,南宁,3,不限,
11212B-AI高级产品经理-智能认知,人工智能,22500.0,平安科技（深圳）有限公司,深圳,5,本科,
人工智能工程师,人工智能,17500.0,深圳市百果互动科技有限公司,深圳,1,硕士,
人工智能研究员,人工智能,37500.0,广州云徙科技有限公司,广州,3,博士,
SFJ-人工智能与机器学习工程师,人工智能,37500.0,顺丰科技有限公司,上海,3,硕士,
人工智能训练师（北京）,人工智能,15000.0,竹间智能科技（上海）有限公司,北京,1,本科,
CSIG-人工智能研究员,人工智能,40000.0,腾讯科技（深圳）有限公司,深圳,3,本科,
人工智能研究员SYD25,人工智能,7000.0,中国信息通信研究院,北京,0,硕士,
智能传感器方向,人工智能,52500.0,北京纳通医疗技术有限公司,北京,5,博士,
人工智能带头人,人工智能,37500.0,苏州雷泰医疗科技有限公司,上海,0,博士,
