测试开发,测试,35-45K,永辉云创,上海 徐汇区 虹梅路,5-10年,本科,测试能力 1、五年左右的测试经验，有参与或者负责过大型项目的测试工作2、熟练掌握测试方法和流程，能够独立完成项目的测试工作，抗压能力强3、熟练掌握自己测试系统的前后端逻辑，上下游系统的产品逻辑以及修改后的相互影响技术能力1、对于主流测试框架有深入的研究，能够独立完成项目的自动化测试工作，代码基础优秀2、了解常用的设计模式，能够应用到测试工具开发中3、了解Linux的原理，熟练掌握常用命令的使用，shell脚本能力较强4、了解数据库的原理，能够对相关技术瓶颈提供建议5、了解主流缓存、中间件技术6、有开发工作经验优先

功能测试,测试,6-12K,盘古运营,上海 浦东新区 陆家嘴,经验不限,本科,高级测试人员【基本要求】1、    IT或金融相关专业本科以上学历。2、    具备8年（含）以上金融行业项目需求分析、功能测试实施经验，或金融业务领域从业经验。3、    具备良好的沟通协调能力和语言文字表达能力。【技能和特长要求】1、    具备业务分析及测试管理能力，能够独立编写测试方案、测试报告，能够组织及指导测试分析和测试执行工作的开展。2、    曾负责5个以上中等规模（指测试周期六个月以上、测试参与人员15人以上）功能测试项目的测试管理及分析工作，或曾负责2个以上中等规模（指测试周期六个月以上、测试参与人员10人以上）功能自动化测试项目的测试管理、分析及自动化封装工作。。  【工作职责】1、    协助甲方做好功能测试管理工作。2、    负责测试需求分析和测试方案设计，编写测试方案与测试结果报告。组织及指导功能测试实施工作。中级测试人员【基本要求】1、    IT或金融相关专业本科以上学历。2、    具备5年（含）以上金融行业项目需求分析、功能测试、自动化测试或开发实施经验，或金融业务领域从业经验。3、    具备良好的沟通协调能力、语言文字表达能力。【技能和特长要求】1、    熟悉白盒测试和黑盒测试技术，能够快速了解业务需求，独立开展测试需求分析，编写测试需求和案例。2、    熟练掌握测试管理工具（QC/ALM等）。  【工作职责】1、    负责测试需求分析、测试案例编写及自动化案例编写。2、    负责测试结果记录和缺陷跟踪。3、    优化自动化测试脚本，提高测试效率。 初级测试人员【基本要求】1、    IT或金融相关专业本科以上学历。2、    具备2年（含）以上金融行业项目功能测试或自动化测试实施工作经验。3、    具备良好的沟通协调能力、语言文字表达能力。【技能和特长要求】1、    具备编写测试案例（含自动化测试）及良好的测试执行能力。2、    熟练使用测试管理工具（QC/ALM等）【工作职责】1、    负责编写手工及自动化测试案例。2、    执行测试案例、记录测试结果和跟踪测试缺陷。

测试,测试,7-12K,金证股份,上海 徐汇区 龙华,1-3年,本科,计算机软件工程相关专业两年以上测试经验或开发经验熟悉软件测试流程熟悉接口测试及性能测试或熟悉自动化测试性能测试  必须本科毕业

测试工程师,测试,20-30K·13薪,中通快递,上海 青浦区 华新,10年以上,本科,岗位职责：  负责网页端、移动端系统功能、兼容性、接口测试；任职要求：1、有较强的测试分析设计能力；2、精通测试用例设计；3、熟练掌握抓包工具、接口测试工具；4、能快速定位问题；5、对软件工程有深刻的认识；6、计算机及相关专业本科以上学历，有扎实的计算机基础知识；7、精通功能、接口、性能测试；

VUC测试工程师,测试,12-18K,软通动力,上海 浦东新区 陆家嘴,1-3年,本科,VCU测试工程师，需要懂matlab和simulink，在上海浦东新区工作。要求全日制四年本科，二本学历优先。

测试,测试,10-15K,中软国际,上海 浦东新区 张江,经验不限,本科,1、本科，学信网可查，2年及以上测试经验2、有一定的需求分析和用例设计能力3、懂SQL数据库和linux4、沟通良好，有上进心5、头脑灵活，逻辑思维好

app测试,测试,10-15K,携程旅行网,上海 长宁区 华漕,1-3年,本科,"岗位职责:1. 承担公司无线产品线测试工作，保障发布质量2. 负责设计测试计划和测试用例，组织并进行产品测试，提交软件的测试报告，并进行跟踪管理；3. 与产品经理和开发人员就产品需求、技术设计和进度问题及时进行有效沟通，推进项目流程和确保质量；4、能够钻研测试技术、总结和分享测试方法经验、进行测试过程和方法的持续改进。岗位要求：1、本科及以上学历， 计算机，电子，通信或软件相关类专业；2、1年以上APP测试经验，熟悉Android和IOS手机系统, 了解相关的平台的测试技术；3、熟悉测试理论和流程；4、 学习能力强，沟通协调能力强，有较强分析和解决问题的能力，工作积极主动，有责任心。"

软件测试工程师,测试,10-15K,鼎驰科技,上海 浦东新区 唐镇,3-5年,本科,岗位名称：软件测试工作职责：1、负责证券交易（普通、信用、场外、机构等）相关系统回归测试、集成测试、仿真测试、业务测试和全网测试工作；2、负责证券交易相关系统测试案例、测试报告的编写、开发和维护；3、负责测试环境（含开发环境、仿真环境、准生产环境）的构建和维护，保障对接系统的日常开发调试、性能压力测试；4、参与软件产品的需求分析，根据业务需求制定测试策略及方案。工作要求：1、全日制本科及以上学历，计算机或信息技术相关专业 ；2、3年以上软件开发测试相关工作经验，熟练掌握测试理论、方法及测试工具 ；3、熟悉测试用例设计，熟悉单元测试，熟悉压力测试脚本设计，掌握系统性能测试方法；4、有证券交易基础业务知识或证券等相关行业开发经验；5、学习能力强，具备发现问题缺陷和解决问题缺陷的能力；6、责任心强，工作严谨细心，拥有良好的沟通能力和团队合作能力，能承受工作压力。公司福利：公司食堂、节假日不补班、节假日福利、生日礼物、不定期团建等等

