,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Python,C,Tensorflow,Java,Linux,Spark,Hadoop
0,渠道销售/大客户销售+新零售人工智能,人工智能,17500.0,上海悠络客电子科技股份有限公司,上海,5.0,大专,工作职责：1、深入研究公司产品与所属行业，制定适应公司发展战略的拓展计划；2、根据公司业务发展需求，寻找、挖掘有利于公司的合作资源。对合作客户、合作渠道和合作项目实施具体开拓、推进、关系维护和协调，以提升合作方在公司的整体价值；3、负责各类互联网合作项目的商务谈判及合作拓展；4、有客户进行定期维护和服务，及时有效地为大客户提供高品质服务以保证客户满意度。任职要求：1、拥有丰富的市场拓展经验，熟悉相关行业合作的互动模式；思维活跃，能深入挖掘潜在资源，进行深度合作；2、具备良好的沟通谈判和表达能力，具备优秀的心理素质；3、具备透彻的调研分析能力及良好的逻辑能力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,知识产权实习生（人工智能行业）,人工智能,,亮风台（上海）信息科技有限公司,上海,0.0,本科,岗位职责实习阶段：1.知产，法律事务、资质等管理；2.纸质及电子档案的管理；3.其他内部事务的支持；转正后：1.法务事项工作支持；2.知识产权事项工作支持；任职要求：1、英语四级以上，细心认真，执行迅速、有责任心；2﹑熟练word、Excel等办公软件；,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,人工智能算法开发工程师,人工智能,17500.0,深圳固远特种机器人有限公司,深圳,0.0,无,、负责强化学习、深度学习人工智能数学模型研究、算法实现及优化； 2、负责人工智能系统工程环境的部署；3、跟踪人工智能技术和算法的前沿技术；            4、深度了解机器学习算法模型构建和算法实现及应用场景，输出可落地的应用场景解决方案。任职要求：1.  本科及以上学历，数学、物理、计算机等相关专业，至少两年以上开发经验；2.  精通Python、Java等至少一种编程语言，熟悉Linux平台；3.  具备良好的数据结构、算法分析与设计基础；4.  熟悉至少一种常用大数据平台或核心功能组件，如：Hadoop MR-HDFS-YARN、Spark、Storm、TensorFlow等；5.  熟悉常用的机器学习算法，了解不同模型的特性，具有运用高级数学模型进行综合大数据分析的能力；6.  熟悉SQL语言，熟悉至少一种开源大数据相关数据库系统，如Hive、Spark SQL等；                        7. 具有强烈的责任心和钻研精神，以及团队协作精神。,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,人工智能检测助理/无经验,人工智能,5250.0,深圳市鼎信伟业贸易有限公司,深圳,0.0,大专,职位信息1、年龄在21-29岁，大专及以上学历，专业不限。2、熟练使用相关办公软件，具备基本的互联网知识。3、对互联网行业感兴趣，并有志在该行业发展。4、可接受转行求职人员，但需要面试筛选、考核通过。5、负责公司软件产品上线前的测试工作及售后更新测试。薪资待遇：1、试用期2个月，基本工资4500~6000，加项目提成。2、对于初来深圳的毕业生，公司能提供住宿。3、享受法定休假，公司实行7小时工作制。工作时间:09：00至6:00(周末双休)，法定节假日照常休息,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,python与人工智能全职讲师 集团互联网+教育机构直招,人工智能,30000.0,北京外企人力资源服务有限公司,北京,2.0,本科,"工作职责：1、负责人工智能相关课程产品的设计和完善，参与教学项目案例研发工作，配合完成相关的教学资料研发工作；2、负责人工智能相关项目案例的研发与讲解，并带领学员参加实训并指导学员完成实操项目；3、负责人工智能相关在线班授课，课程辅导，保证学员的学习质量；4、结合技术的发展变化，不断改进教学方法，完善教学体系；5、完成上级领导交办的工作任务。任职要求：1、深入理解结构话数据回归、分类，聚类，图像分类、图像检测和分割等基本概念；2、熟悉常用推荐引擎、自然语言处理、语音识别、图像识别、人脸识别、神经网络等人工智能领域的相关算法，如：决策树、逻辑回归、贝叶斯、降维，聚类，人工神经网络（CNN，DBN，Autoencoder）等；3、熟悉至少一种深度学习框架，如Tensorflow(Keras)、Theano、Caffe和PyTorch等；4、熟练使用Numpy、Scipy、Matplotlib、Pandas等数值计算库；5、熟悉python数据挖掘、数据分析流程，用户行为、用户画像、推荐系统；6、熟悉python编程爬虫、Django、Flask，能基本使用其他一种或多种语言编程，如：Java/C/C++/NPL；7、善于表达，具备团队协作能力。北京开课吧科技有限公司公司官网：http://www.kaikeba.com/about公司介绍慧科集团创立于2010年8月，是中国高等教育和职业教育综合服务平台。在高等教育领域，通过旗下“慧科教育”为中国高校提供战略性新兴产业人才培养解决方案；旗下“高校邦”为高校提供在线教育智慧学习平台。在职业教育领域,通过旗下“开课吧”为大学生及互联网从业者提供以职业发展为导向的实用技能培训。集团旗下设立专注教育与信息技术深度融合的“慧科研究院”以引擎之势助力集团持续洞悉和引领行业发展趋势、打造教育创新生态。",1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,销售经理（人工智能）,人工智能,17500.0,北明智通（北京）科技有限公司,广州,3.0,本科,、 负责人工智能企业客户的知识工程、智能服务解决方案销售及推广工作；2、深刻理解客户需求和公司产品及服务的特点，签订商业合同，完成销售任务目标；3、维护客户的良好关系，开发新的客户需求；4、 负责人工智能解决方案销售资料、销售工具包、培训资料的整合和管理；5、 负责有效组织面向客户、合作伙伴及公司内部销售、项目人员的产品培训。岗位要求：1、本科及以上学历，3年以上相关工作经验，市场营销、计算机、自动化等相关专业；2、对产品和市场具有敏锐的判断力，具有较强的学习能力、分析能力和解决问题能力；3、沟通协作能力强，思维敏捷，能够准确衔接客户需求和自有资源；4、个性开朗，有很强的学习能力和适应能力，可以在短时间内快速了解行业特点、客户需求并掌握销售资源；   5、具备知识图谱、人工智能解决方案销售经验者优先。职能类别：										大客户管理									关键字：销售人工智能AI大数据知识图谱,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,人工智能,人工智能,9000.0,北京黑马卓越信息技术有限公司,郑州,0.0,大专,任职资格：1、有志在IT行业或“互联网+”相关领域发展2、18-30岁之间，高中及以上学历，专业不限。3、有良好的沟通能力，做事踏实、认真。4、悟性高、学习能力强、逻辑思维活跃。5、会简单的计算机操作，有无经验均可岗位要求：1、18-30岁，高中及以上学历。2.责任心强，有良好的团队精神和亲和力3.懂办公软件操作，有意向长期往技术方向发展4.能吃苦、学习能力强，做事积极、细心福利待遇：1.周末双休；2.五险一金，优于行业水平的薪资+绩效奖金；3.一年一到两次的加薪机会；4.高于法定规定的超长带薪休假；5.广阔的晋升空间，公司将向每个员工提供均等的晋升机会。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,人工智能工程师,人工智能,27500.0,红宝丽集团股份有限公司,南京,3.0,本科,"岗位要求：1、年龄：35岁左右2、学历：本科及以上3、专业：数学、计算机、统计学等相关专业岗位内容：1、具备机器学习、人工智能、数据挖掘等基础，对自然语言处理、机器学习、人工智能、算法理论和数据挖掘有比较深入的理解或应用。2、数据结构、算法基础，熟悉java或者scala、python等编程语言。3、熟悉web开发流程，熟悉HTTP协议，TCP协议，网络编程。4、熟悉MySQL, MongoDb, redis等相关数据库，能进行数据分析。5、熟悉Hadoop、Spark或者TensorFlow；熟悉消息队列，Hive或HBase等非关系数据库。6、熟练使用Linux、熟练掌握Shell脚本，SQL数据库语言。备注：工作能力较强者，薪资可再议！",1.0,0.0,1.0,1.0,1.0,1.0,1.0
8,课程开发老师（人工智能方向）,人工智能,7000.0,广州智迈汇科技有限公司,广州,2.0,大专,、具备一定的技术基础（编程语言、硬件基础、人工智能基础）2、热爱教育，有课程开发或课程授课经验3、沟通能力强，亲和力好1.工作内容1）基于人工智能教育产品，进行课程开发2）课程的备课和授课3）根据课程反馈的效果，对课程进行迭代更新,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,产品经理（互联网人工智能）,人工智能,12500.0,广州庚亿信息科技有限公司,佛山,5.0,本科,岗位职责：1、负责公司产品规划设计，定制产品策略及商业路径，跟进方案拆解及产品迭代上线；2、收集产品需求、用户反馈跟进、项目进度跟进，持续对产品进行改进创新；3、深度挖掘互联网产品数据分析需求，提供数据分析解决方案；4、负责配合销售部门向客户交流，介绍产品功能以及收集分析客户反馈需求，指导功能迭代；5、跟进开发流程，协调开发、测试、设计等团体资源推进产品上线；6、领导安排的其他工作。任职要求：1、本科以上学历，3年以上产品工作经验，有互联网产品运营经验优先；2、具有市场需求分析能力和需求方案撰写能力，有较强商业方案撰写能力；2、具备良好的Axure设计能力、熟练使用Xmind等思维导图工具以及常用办公软件；3、具有良好的逻辑思考能力，能够快速了解需求及进行逻辑搭建；4、具备娴熟的技术交流能力和PPT制作水平，书写、表达和演讲能力较强；5、综合素质佳，具有较强沟通协调能力，学习创新精神、服务意识和团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
