,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Pcb,C,Protel,Ic,Qc,Arm
0,电子部门普工/技工包吃住7千可长短期,电子/半导体,7000.0,广州天河新格宝电子厂,广州,0.0,初中及以下,"报名方式：1.有意者可直接投递简历，我们会直接联系你2.短信编辑（姓名+年龄+所在地区）发送至人事主管15814328270陈小姐3.电话直接联系人事主管15814328270陈小姐一、【薪资福利】正式工待遇1、正式工：5500-6800元/月。2、每个月10准时发工资3、底薪2300-2600元，加班费按劳动法算，平时加班1.5倍，周末加班2倍，法定节假日3倍；平均每天加班2至3小时5、每月有：岗位津贴100元-500元，绩效奖100元-300元，全勤奖等等。6、小时工：18-23元/小时（按岗位），每月有：260个—280个工时，收入：5200元—6300元/月。7、岗位津贴100元-300元，绩效奖100元-400元.每周可预支工资300-500元8、进厂做满一个星期可预支100-300/周9、由于订单足，上班时间比较稳定，每天工作10-11小时10、公司为员工购买：工伤、医疗、养老保险11、【晋升】公司每年考核员工工作表现（表现好的员工）将获得：调薪、选拔晋升（技术职位、管理职位）。12、公司会安排完整的培训，以便员工能够较早熟悉环境及进入工作，不用担心没有经验.。13、平时活动：为丰富员工业余生活,经常举行各种活动及比赛，奖金非常雄厚。14、娱乐设施：图书馆、篮球场、兵乓球、羽毛球、台球、等各种娱乐设施全部免费为本厂员工开放。15、节日、生日福利：生日时为每位寿星赠送精美的生日礼物。二、：工作内容1、岗位涉上市电子产品的组装、组立、检测、包装、插件、品质、测试、等岗位2、无需经验；生手熟手均可；生手进厂后有老员工带。3、因目前订单增加，特向社会高薪招聘：普工、操作工、包装员、质检员、正式工、临时工。三、车间环境1、车间配有：饮水机，休息间。2、车间配有中央空调（冬暖夏凉）3、坐着上班，少量站班，不需要穿防尘服，穿的是普通工衣。4、上班气氛好，管理宽松，四、招工要求1、男女不限；18-45周岁。2、学历不限3、身体健康，无大面积纹身4、本人身份证1、进厂当天，统一发饭卡，刷卡吃饭。2、饭堂：有米饭、粤菜、湘菜、川菜、窗口，小食有水饺、馒头、面包、鸡蛋、吃饱为止，持厂牌即可刷卡就餐。3、免费提供住宿、4-6人一间，房间大。4、宿舍配备WIFI、独立卫生间、洗澡间、空调、学习桌、热水器等用品",0.0,0.0,0.0,0.0,0.0,0.0
1,电子技术员,电子/半导体,4250.0,苏州派捷电子科技有限公司,苏州,1.0,大专,、电子或电子信息专业；2、具有数字电路、模拟电路理论知识基础；3、熟悉模电、数电、有过单片机应用。工作态度1、坦诚自信、乐观进取；工作勤快，虚心好学；工作敬业，认真细致。2、能独立完成工作项目，能独立分析和解决问题。3、工作热情高，责任心强；相互沟通，团队协作能力强。4、逻辑思维清晰，有一定的写作能力。其他要求1、专业工作经验5年以上、年龄：20-25岁2、性别不限；英语一般,0.0,0.0,0.0,0.0,0.0,0.0
2,电子工程师/技术员,电子/半导体,10000.0,宁波鲨鱼电子有限公司,宁波,3.0,大专,任职要求：1.电子相关专业大专及以上学历2.3年以上相关工作经验3.能熟练运用各种常用原理图及PCB设计工具4.有模拟电路和数字电路设计的实际工程开发经历5.能够独立搭建试验电路进行测试工作内容1.新产品的设计与开发2.旧产品的维护3.BOM建立待遇：面议,1.0,0.0,0.0,0.0,0.0,0.0
3,电子工程师,电子/半导体,9000.0,深圳市诺明光电有限公司,深圳,5.0,大专,、大专以上学历，有2年以上LED电源开发经验，能独立完成电源开发任务；2、专业技能熟练，精通Altium Designer等设计软件；3、精通数字电路和模拟电路，熟练应用常用电子元器件;4、有上进心，有较强的学习能力及理解能力，具有良好的动手能力。福利与待遇：1.公司实施大小周制；2.提供具有竞争力的薪酬，底薪 +绩效+ 年度考核年终奖；3.购买五险一金，常出差人员商业险；4.享有国家法定节假日，春节带薪休假；5.公司设有：羽毛球场、乒乓球、桌球、K歌室等免费提供使用；6.工作氛围好，领导同事好相处；7.提供住宿，有空调热水器；8.每年组织各类文体活动：羽毛球赛、台球赛、员工技能比赛、年终文艺表演等。,0.0,0.0,0.0,0.0,0.0,0.0
4,电子工程师,电子/半导体,5250.0,昭星实业（深圳）有限公司,深圳,0.0,大专,岗位职责：1、大专以上学历，电子方面专业者优先；2、熟悉电子产品，有广告机工作优先；3、熟悉电子产品生产工艺流程和检验流程；4、能熟悉使用各种测试仪器，熟悉各元器件的测试；5、能独立依据产品信息资料，对产品进行全面测试；6、熟练使用ERP系统，有产品测试和工程样品经验；7、能吃苦耐劳，有团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0
5,电子工程师/蓝牙工程师,电子/半导体,12500.0,广州飞傲电子科技有限公司,广州,0.0,本科,岗位职责：1.负责公司蓝牙耳机类产品软硬件开发工作；2.协助软件需求定义评估3.制定测试流程任职要求：1.大学本科及以上学历；2.有1年以上从事蓝牙产品相关软硬件开发工作经验优先；3.熟悉CSR/高通Flash平台的蓝牙软件开发工作经验优先；4.熟悉ANC主动降噪开发者优先；5.思维开拓，沟通协调能力强。,0.0,0.0,0.0,0.0,0.0,0.0
6,电子厂普工+正式工+小时工6000月包吃住,电子/半导体,7000.0,广州市易智电子科技有限公司,广州,0.0,初中及以下,"可安排暑假工，正式工，小时工，短期工，报销来回车费，公司主做各品牌手机的代加工。因订单增加，现开设新产线，愿来自五湖四海的朋友来我公司一同发展。新开产线，大量招聘新开部门，上班轻松，当天安排面试、当天安排入职、当天安排住宿、带薪培训、包吃包住、综合5000-6500元/月左右，由自已选择部门、普通工衣、环境好、加班多，自愿选择加班。入职可借支!招聘岗位：普工、生产工、操作工、装配工、维修员、包装工、插件、组长、拉长等；SMT、CNC、QC、QA、分检、测试、扫描、贴标签、物料员。主要是对手机电子产品、手机配件、集成电路、通讯设备、车载导航、半导体、打印机等进行生产制造和组装加工，或来料加工、打包装等等。工作轻松，简单易学！.公司优势：1、加班多、工资高，稳定。薪资福利有保障、晋升空间大；2、四到六人间宿舍，配套设施完善，条件优越；3、免费提供三顿工作餐，入职当天发饭卡，让您省钱省心；4、体检免费，面试当天安排住宿。(可自己选是否买社保五险一金).正式工；试用期底薪2140---转正后底薪2350， 加班按劳动法平时加班1.5倍（19元小时）周末加班（23.5元小时）法定节假日上班3倍（35元/小时）全勤奖（100）岗位津贴(100-200)绩效奖（200-300）综合补贴1000元以上，折算小时工17-19块一小时，包住吃，每天上8-11个小时，综合工资4500-5600块/月工资待遇：1、底薪2300-2600(晋升机制)，周一到周五每小时20元，周六周日每小时27元，节假日40.5元，每月轻轻松松上5000元2：按时计算：18-20元/小时：每天176～220（元/天），轻轻松松！3：按时计算：18-20元/小时：每天176～220（元/天），轻轻松松！4、每周5天8小时制，(8:00-17:00)，加班随个人意愿(多劳多得)5、平日加班2-3小时，平日加班1.5倍工资，周日2倍工资，节假日6倍工资(每月可休息4-5天)5、公司执行白晚两班制，夜班津贴12元/晚(如不适应夜班可上常白班).福利待遇：免费包吃住，入职免费提供免费饭卡以及工作用品；食免费提供一日3餐（标准餐）午、晚餐标准、丰盛；住公司提供4人间公寓房，24小时热水，WIFI，独立卫生间，有空调和洗衣房。行外宿员工，全范围内厂车免费接送上下班；入职可以选择是否购买社保+五险一金；.工厂上班时间两班倒：早8点到晚8点，晚8点到早8点；大部分坐着上班，有吃饭、休息时间。月休4天左右。【应聘须知】1、应聘者请带好本人有效身份证件2、不带行李统一视为外宿不分配宿舍(因公司是当天安排吃住的,不带行李不安排宿舍)请大家***备齐行李物品，以免来回折腾为了你***时间报名成功录入你的资料，请尽量咨询报名请添加好友郑小姐1992572144",0.0,0.0,0.0,0.0,1.0,0.0
7,电子设计技术员,电子/半导体,3750.0,天津芯慧鸿业科技发展有限公司,天津,0.0,无,职位标签:电子工程师电子技术研发工程师研发工程师电子开发工程师 职位职能:电子工程师/技术员电子技术研发工程师 职位描述:应届毕业生单位也可以培训  任职要求： 1、年龄：20-40岁，电子等相关专业，（能熟练看懂英文资料）。 2、参加过电子产品竞赛，智能车竞赛，AI智能机器人竞赛，互联网物联网竞赛的优先。 3、具有较强的创新意识，思维敏捷跳跃，动手能力强，对C语言、arduino、python有一定的编程能力。 4、熟悉使用通用仪器，能够完成电路设计调试以及测试验证工作。 5、具有较强的团队意识、责任心和吃苦耐劳的敬业精神。,0.0,1.0,0.0,0.0,0.0,0.0
8,电子商务经理/主管,电子/半导体,12500.0,上海鹿得集团,上海,0.0,大专,"						岗位职责：1、 开拓、维护第三方渠道(B2C平台，如京东，淘宝店铺)平台，订单、发货、库存、账单等的处理；2、 与负责运营的第三方对接订单、发货、库存、每月账单等；3、 利用第三方工具，对线上价格进行管控、监督；4、 电视购物平台的维护，订单、发货、库存、账单等的处理；5、 及时准确执行平台营销工作；6、 关注库存，对发货异常、退换货等情况的处理。任职资格：1、 大专以上学历，电子商务、市场营销、医疗器械等相关专业；2、 4年以上电子商务工作经验，熟悉（B2C）电商流程，拥有电商团队管理经验；3、 有医疗器械相关工作经验者优先；4、 拥有良好的亲和力，沟通能力、协调能力及执行能力，较强的学习能力；5、 熟练运用office 等常用办公软件。上班时间：做五休二，周末双休，法定节假日正常休息、放假。薪资待遇：1、合理优厚的薪金：基本工资+补贴+年终奖等,2、完善的假期组合：带薪年假、带薪病假及法定假期；3、优厚的福利体系：养老保险、医疗保险、生育保险、 工伤保险、失业保险及住房公积金；4、丰富多彩的员工活动：员工聚餐、年度体检、生日会、节日晚会、旅游活动、运动会、优秀员工表彰活动等；5、多元化培训课程：带薪岗前培训，在职个人提升计划。6、良好晋升机会：内部转职（横向发展）、纵向提升；7、舒适工作环境。																		",0.0,1.0,0.0,0.0,0.0,0.0
9,7千坐班轻松工资电子厂（入职新人奖2400元）,电子/半导体,7000.0,广州恒美电子商务有限公司,广州,0.0,初中及以下,7千坐班轻松工资电子厂（高工资、环境美、上班最轻松、全坐班）报 名微 信：一（八）五（零）二（零）零（三）九（八）三。做3个月奖励稳定岗位补贴2400元，辞职结清所有工资(辞工只需提前3天)！【优势1】  (工作轻松):本厂主要生产苹果手机、华为手机组装、装配，包装，手机扫描，贴标签比例简单的工作，普通工衣、空调车间、坐着上班。【优势2】（环境好):厂里宿舍，有空调，无线网，热水器，电梯公寓！【优势3】  (工资高):试用期底薪2300元，平时加班20元小时，周未27元小时，法定节假日40元小时！3个月后底薪：2650元，平时加班23元小时，周未30元小时，法定节假日45元小时！综合工资：6200-6800元（底薪2300元+平时加班费1300元-1500元+周末加班费1200元——1500元+全勤奖200元+岗位津贴100-600元+夜班补贴8元/晚+小组奖金200-600元+新人奖金800元/月）。【优势4】 (晋升空间大):注重长期发展，以及职位的晋升：作业员-助拉-线长-组长-主管，大量招聘储备干部！【优势5】 (管理岗位):物料、品检、QA，QC，测试、维修、外观、包装、仓管、文职、技术员、CNC、SMT、全部岗位无需工作经验，岗位可自由选择，工作轻松，工资高年龄要求：18-44岁周岁，只要做一个月以上就可以。  报 名微 信：一（八）五（零）二（零）零（三）九（八）三。 【上班地点】广州经济开发区（东站附近）,0.0,0.0,0.0,0.0,1.0,0.0
