,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Java,Mysql,Web,Linux,Redis,Spring,Sql,Javascript,Python,Php
0,后端开发工程师,后端开发,16500.0,佐大狮科技（上海）有限公司,上海,0.0,本科,岗位职责：1. 负责业务系统功能模块的开发，保障服务的稳定性. 可扩展性；2. 按时完成技术负责人分配的开发任务；3. 对工作中遇到的问题提出合理的优化建议。任职要求：1. 计算机、数学相关专业，本科及以上学历；2. 2年以上后端系统开发经验，CS基础扎实；3. 熟悉TCP/IP协议，掌握流行的开源框架，如echo，gRPC；4. 熟悉MySQL、MongoDB等数据库，合理数据建模，了解SQL优化；5. 熟悉缓存，消息队列等；6. 后端技术栈不限，愿意转Go；7. 加分项1：有具体微服务开发经验；8. 加分项2：熟悉Git，参与或有开源项目。,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,后端开发工程师,后端开发,8000.0,湖北三新文化传媒有限公司,武汉,0.0,无,"工作职责：1.参与系统的需求分析，根据公司规范完成开发技术文档的编写；2.参与软件设计的重构、功能开发，优化，维护统一的软件开发架构，保证产品的可迭代可维护性；3.配合前端工程师完成界面和后台开发，以及完成相关系统的功能/接口开发；4.进行单元测试，确保功能稳定，性能优异，保证研发工作高质量完成；；5.协助解决系统调优、数据调优、故障排除、系统升级迁移等问题；任职要求：1.计算机软件或相关专业，2年以上Java开发经验, 有过ERP、OA、等系统开发经验者优先;2.熟悉Java/JEE， 基础扎实，熟练掌握常用Java技术框架，能编写高质量简洁清晰的代码；3.熟悉B/S架构的软件开发，熟练使用UML、PowerDesigner相关工具;4.熟悉spring-boot, mybatis, spring-mvc, dubbo等常用框架；5.良好的面向对象设计理解，熟悉面向对象设计原则，掌握设计模式及应用场景；6.具有比较强的问题分析和处理能力，有比较优秀的动手能力，热衷技术，精益求精，有一定的技术癖；7.有良好的代码写作习惯，以及文档撰写能力，有较强的合作、沟通理解能力，具有团队精神与团队合作精神。",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,后端开发工程师,后端开发,7000.0,常州奥腾国际贸易有限公司,常州,2.0,本科,"岗位要求：1、有丰富的代码编写经验，精通主流框架；2、代码整洁高效；3、有完整项目经验，对整个开发过程的每个环节有深刻理解；4、熟悉各主流电商平台营销规则并有电商相关项目经验；5,、有较强的沟通、理解能力，执行力；6、不断学习、掌握最新前沿技术任职要求：1、根据公司项目产品功能需求，设计整体框架，模块及之间关系，要求效率高，开发容易，维护方便；2、分析找到困难功能实现方法，协助指导其他相关人员完成工作；3、开发实现新的功能、新的业务模式；",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PHP后端开发,后端开发,9000.0,广州嘻饮力餐饮科技有限公司,广州,2.0,大专,"岗位职责：1、负责公司现有项目的功能优化；2、负责参与公司PHP系统的研发；3、带领团队进行新项目功能模块的设计开发工作，完善相应的开发文档； 4、负责解决项目中存在的架构等技术问题； 5、微信小程序开发；6、开发制定一套建站系统；任职要求：1. 能够开发CRM呼叫中心系统（WEB网页版）2、有2年以上PHP(LAMP/LNMP)开发经验，面向对象开发经验,有大型网站或者电子商务网站开发经验者优先 ；3、熟悉常用开发环境如PHP，MySQL，Nginx，Memcache,Redis,NoSQL等的搭建，设置及调优；4、精通PHP+MYSQL编程以及主流的PHP框架(ThinkPHP，Yii2)，熟悉面向对象编程及MVC模式；5、对数据库优化，PHP缓存技术，静态化设计，高并发，数据库安全等方面有自己的见解；6、有开源架构代码的分析能力及修改扩充的能力，有 CMS(Magento/wordpress/phpcms)经验为佳；7、能够熟练操作Linux系统，编写Shell脚本，并不断提升服务器的安全性优先；8、掌握常用的算法以及设计模式，熟悉常见的web攻击的解决方法；9、懂RESTful API接口开发，如：OAuth2、JWT，有前后端分离开发经验10、有对接过电话系统优先；工作时间：09:00-18:00（大小周）公司福利：下午茶时间、生日会、员工旅游/拓展等办公环境宽敞、舒适，办公室内设有零食区、游戏休闲区，期待您加入我们大家庭！上班地址：广州市白云区嘉禾街道尹边三街24号科应大厦一楼",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4,python后端开发,后端开发,9000.0,河南中消物联科技有限公司,三门峡,3.0,无,岗位职责;1.项目的架构设计，核心模块的开发工作；2.系统需求分析与设计，并负责完成核心代码，接口规范制定;3.后台系统新需求的开发；4.产品运营系统设计与核心模块开发；5.负责公司WEB后台管理系统的开发、优化、维护6.善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识7.持续关注新技术，引入并优化前端的质量、性能、用户体验8.遵循公司安全标准，并确保按时按质按量完成代码实现和单元测试任职资格：1.精通python开发，3年以上开发经验;2.精通linux系统高并发开发4.熟悉python扩展模块优先5.熟悉HTML5/CSS3/JavaScript等前端技术优先6.熟练vue/iview等前端技术优先8.任心强，良好的沟通能力以及团队协作能力。,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,PHP后端开发工程师,后端开发,10500.0,海南乐众网络科技有限公司,广州,0.0,大专,"职位信息：1、负责前端数据交互，APP接口开发；2、优化数据库数据查询结果。岗位要求：1、大专以上学历，计算机相关专业，有相关经验优先，优秀应届生亦可；2、熟悉 MVC OOP，熟悉国内国外主流框架，至少熟悉TP框架；3、熟悉MYSQL数据库，对数据库查询优化有一定经验；4、思维逻辑清晰、有团队协作精神,能够使用代码托管工具进行代码管理；5、能够使用原生代码实现需要的功能；6、好学、主动、责任、好奇；7、熟悉网页前端脚本,熟悉html代码,能够与前端工程师配合； 8、有一定的项目经验。福利待遇：1、良好的职业发展平台，快速的职业晋升通道，全方位的培养计划；2、在同行业中具有竞争优势的薪资待遇，年底分红、绩效奖金、项目分红、全勤奖金、勤奋奖金；奖金丰厚，等你来拿！3、提供午晚营养工作餐+健康水果下午茶，给奋斗的你补充能源；4、全面规范的“五险一金“缴纳制度保障你生活的方方面面；5、定期员工活动，唱K、溜冰、打球、lol、密室逃脱、游泳，只要你想得到，公司尽力满足；6、不定期员工旅游，国内国外，你想去哪，公司买单；7、关注你的健康，每年安排员工大体检；8、轻松活跃的工作氛围、简单的人际关系、专注的职业态度；9、传统节日的丰厚福利为你安排得明明白白；10、舒适整洁的办公环境，地理位置交通便利。 11、还在犹豫什么？赶快来加入我们乐众的大家庭吧！",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,后端开发工程师,后端开发,35000.0,北京安德信业信息咨询有限责任公司,北京,1.0,本科,"岗位职责：1. 根据产品功能设计，进行后台开发；2.后台维护。任职要求:1. 计算机及相关专业本科以上学历，1年以上后台开发经验,熟悉常用的数据结构和算法；2. 熟悉Django（Django Restful Framework）框架以及与之搭配的nginx, Mysql数据库操作、缓存技术、消息队列；3. 熟悉Linux 工作环境, 可以脱离IDE,完全在Linux下工作(vim + tmux)；4. 英语能力过关，善于使用Google，具有较强的独立解决问题的能力；5. 工作认真，态度端正，善于学习沟通。加分项：+ 985学校本科以上学历；+ C++, golang, Java等开发经验；+ 前端开发经验,了解Angular，Webpack等；+ 具有高并发，高稳定性需求项目的开发经验；+ Github高star数的开源项目。",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,后端开发工程师,后端开发,10500.0,广州君海网络科技有限公司,广州,0.0,无,岗位职责：1.负责逻辑开发，根据项目实现相关逻辑功能，及时快速解决游戏线上问题  任职要求：1. 本科及以上计算机相关专业毕业2. 2年及以上游戏行业服务器开发经验；3. 熟悉Lua脚本开发，熟悉TCP/UDP协议；4. 熟悉常用的数据结构、算法；5. 有skynet开发和使用经验者优先考虑；6. 有良好的团队合作精神，能及时快速解决游戏线上问题。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,中级Nodejs后端开发工程师,后端开发,11500.0,江苏太湖云计算信息技术股份有限公司,广州,3.0,本科,职责描述： 1、参与产品后端功能的设计与研发，及持续重构； 2、完成基于nodejs redis mysql等技术的服务器端API开发，使之能支撑千万用户级的移动应用； 3、完成基于javascript引擎技术栈的前端功能逻辑和UI ；4、负责多个应用的nodejs部分的设计和调优；任职要求： 1、本科以上学历，计算机相关专业；2、两年以上后端开发工程师经验，对Node.js以及其他新技术充满热情； 3、熟练掌握Javascript语言编程，熟悉Node.js标准库的使用，能完成相应的扩展开发； 4、具备express、promise、async等框架的使用经验，熟悉HTTP，TCP/IP网络协议，熟悉Restful API 设计； 5、熟悉MySQL等关系型数据库及基本调优并熟悉Sequelize等ORM框架；6、熟悉 Redis，熟悉和掌握源代码管理软件（GIT优先）； 7、具有Linux上的开发经验，能够编写常用和基本的Shell脚本； 8、高度的责任心以及良好团队合作精神，有高并发后端开发和海量数据处理经验； 9、有敏捷软件开发流程的经验的优先；10、对算法有良好的理解能力、深入理解面向对象及设计模式思想； 11、良好的文档书写能力和代码注释习惯，对代码整洁度、可维护性有较高追求。,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
9,后端开发工程师,后端开发,12500.0,广州超有爱信息科技有限公司,广州,1.0,本科,、手游服务端的开发；2、Erlang程序开发，代码实现及调试；3、独立撰写开发文档。岗位要求：1、本科及以上学历，计算机相关专业，1年以上Erlang开发工作经验优先；2、熟悉Erlang语言编程，能够独立根据需求进行模块设计和开发工作；3、精通Erlang，熟悉设计模式，有良好的软件开发素养和软件工程思想；4、良好的TCP/IP协议基础，能够使用MYSQL数据库进行应用开发；5、良好的沟通能力及团队协作能力，具有很强的责任心，能承受较大的工作压力；6、有大型互联网公司任职经验者优先。,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
