,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Web,Css,Html,Javascript,Js,Jquery
0,Web前端开发工程师,前端开发,14000.0,深圳市睿服科技有限公司,深圳,3.0,大专,工作职责1、负责前端页面（Web）和H5页面的构建，各类交互设计与实现；2、前端样式和组件开发的模块开发；3、精通前端工程化构建工具，至少有一个大型项目开发经验；4、负责与微信公众号、微信小程序、app等移动端数据交互及配置部署；5、通过技术手段，提升用户体验并满足高性能要求；6、配合后台开发人员完成项目；岗位要求：1、了解W3C标准，熟练使用HTML、CSS、JavaScript、Ajax、DOM等前端技术，懂python优先；2、了解WEB标准化、模块化、性能优化方法，了解可用性、可访问性和安全性；3、计算机相关专业，3年以上相关工作经验；4、具备MVVM框架开发经验，如React、VueJS、AngularJS等，并对Element、iView有深刻了解并有相应的开发经验；5、精通JavaScript、AJAX、DOM、jQuery等技术；6、熟悉NodeJS，熟练使用Grunt、Gulp、Webpack等构建工具；7、有良好的代码编写习惯，有自主学习能力，有良好的团队合作意识及积极的心态。综合一档社保；全日制大专以上学历，学信网可查；介意外包勿投；多上班地址可选，请放心投递。职能类别：其他,1.0,1.0,1.0,1.0,0.0,1.0
1,Web前端开发工程师,前端开发,9000.0,广州小兵过河信息科技有限公司,广州,1.0,大专,岗位职责：负责web前端的开发工作；负责web前端系统分析、优化与架构工作。任职要求：1.大专以上学历，一年以上工作经验；2.熟练掌握vuejs/vue-router/vuex技术栈开发、vue脚手架和webpack构建工具的使用并有实际项目开发经验；3.熟悉流行的UI框架，熟悉W3C标准，具有良好的ES6+基础，对前后端分离、Web语义化、性能优化、浏览器兼容等有较为深刻的理解，较强的分析问题和解决问题的能力；4.思路清晰、良好的模块设计实现能力；优秀的代码编写能力，代码可读性强、复用性高；5.关注前端前沿技术研究，通过新技术服务团队和良好的业务沟通能力，责任心强；6.有小程序开发经验优先。,1.0,0.0,0.0,0.0,0.0,0.0
2,厦门驻场web前端开发工程师,前端开发,20000.0,北京众维网络技术有限公司,厦门,5.0,大专,"外派厦门，做GIS项目，有宿舍。（人员外包，只要能面试通过，薪资从优）1，5年以上前端开发经验，精通前端开发基本技能，如HTML、CSS、JavaScript、xml、json等；2，有丰富的前端研发经验, 熟悉VUE，做过相关项目3，有GIS或地图研发经验优先4、统招大专以上学历，学信网能查。",0.0,1.0,1.0,1.0,0.0,0.0
3,前端开发工程师,前端开发,12500.0,广东利元亨智能装备股份有限公司,惠州,0.0,大专,						岗位职责:1、 承担主要开发工作，对代码质量及进度负责；2、 协助系统架构设计师进行系统架构设计工作；3、 负责网站前后台的修改和升级，根据网站业务需要开发，制作和程序修改；4、 协助公司各部门，满足和协调公司各相关部门提出的网站技术需求；5、 参与进行关键技术验证以及技术选型工作。 任职资格:1、大专以上学历，3年以上Web前端项目开发经验；2、对页面代码结构及前端交互性能有深入的理解；对符合web标准的网站重构有丰富经验；3、面试时提供成功案例； 4、有良好的团队合作精神、高度的责任心、较强的自我管理能力及自驱力，可承受一定的工作压力。,1.0,0.0,0.0,0.0,0.0,0.0
4,Web前端开发工程师,前端开发,9000.0,济南汇通远德科技有限公司,长沙,0.0,无,技能要求：2、精通HTML/HTML、javascript、Json3、精通jQuery框架，熟悉Bootstrap框架4、熟悉不同浏览器之间的差异，能解决多浏览器间兼容性问题5、有kendo\react等研发经验的优先考虑岗位职责：1、参与工作流设计器、权限系统等功能的前端开发。2、参与平台原有功能的完善职能类别：										高级软件工程师									,0.0,0.0,1.0,1.0,0.0,1.0
5,Web前端开发工程师,前端开发,9500.0,湖南纳米娱乐网络科技有限公司,长沙,2.0,大专,岗位职责：1.公司业务后台的前端研发和维护，进行技术预研；2.配合APP端开发应用内web/h5页面。岗位要求：1.有2年及以上web工作经验，了解W3C相关标准，并有产品发布上线运营；2.熟悉web开发，html/css/javascript，熟悉DIV+CSS布局的HTML代码，熟悉面向对象程序设计；3.能够熟练构建Ajax交互，能解决常见的浏览器兼容问题；4.能熟练使用主流的JS开发框架（如Angular、React、Vue、jQuery、Bootstrap、ect.）5.对新技术保持敏感，不断探索，能够突破技术难点，对技术充满热爱，能够协助推进研发项目快速落地和迭代。,1.0,1.0,1.0,1.0,1.0,1.0
6,java前端开发实习生,前端开发,5250.0,广州北珠联科技有限公司,广州,0.0,高中,岗位职责:任职要求br1、大专及以上学历，计算机网络、电子信息、软件工程、电气自动化、测控、生仪、机电、数学或英语等专业。br2、有计算机语言基础者优先，如c语言、java、net、php等；工作态度端正，有责任感，组织性、纪律性强；具有良好的逻辑思维能力、团队合作能力；任职资格：1.年龄在18-30岁之间，高中以上学历；2.有志于往python行业发展；3.熟悉互联网络，熟练使用网络交流工具；4.逻辑思维、学习能力好5、每年享受国家规定的带薪年假、法定节假日等福利；,0.0,0.0,0.0,0.0,0.0,0.0
7,Web前端开发工程师,前端开发,14000.0,深圳市城润科技股份有限公司,深圳,3.0,大专,"岗位职责1、计算机或者相关专业专科学历，优秀者大专亦可；2、有3年以上WEB前端开发经验；3、熟练掌握JavaScript、Ajax、jQuery、vue、Json ,h5等Web开发技术及框架；4、熟悉模块化开发，功能与界面的剥离；5、对Web前台性能优化以及Web常见漏洞有一定的理解和相关实践；6、至少熟悉vue、vue、react其中一种框架；有以下任一经验的，优先录用:1、熟悉当前流行的 JavaScript 类库：vueJS,h5;2、编写过前端组件，在github有前端作品，或有参与知名项目的编码或缺陷提交",1.0,0.0,0.0,1.0,0.0,1.0
8,Web前端开发工程师,前端开发,9500.0,百川云计算（深圳）有限公司,深圳,1.0,本科,配合项目经理实现的前端界面，优化代码并保持良好的兼容性；2.熟悉前后端分离的开发流程，能够高效地与后端开发合作；3. 注重用户体验。基本技能要求：1.本科及以上学历，精通Web前端技术，1年以上相关开发经历，具有良好的代码规范意识；2. 熟悉React或Angular前端开发框架及相关技术栈3.精通JavaScript，基础扎实4.熟悉响应式布局5.精通HTML和CSS，网页符合W3C规范6.熟悉前后端分离的工作模式，缓存等概念7.英文读写能力良好，具有一定的英文沟通能力8. 熟悉PHP语言优先职能类别：										互联网软件开发工程师																			Web前端开发									关键字：Web前端开发,1.0,1.0,1.0,1.0,0.0,0.0
9,前端开发工程师,前端开发,12500.0,上海文思海辉金信软件有限公司,深圳,3.0,本科,做银行证券项目熟练掌握javascript，css等前端相关技术，使用过React、Angular以及vue等至少一个前端框架，能够顺利项目相关的前端开发工作，做过银行证券项目优先																		,0.0,1.0,0.0,1.0,0.0,0.0
