,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Sql,Python,Mysql,Oracle,Java,Hadoop,Linux,Spark
0,数据对接专员（假期福利+单双休+社保）,数据,5250.0,广东金湾信息科技有限公司,广州,1.0,大专,职位信息 1、对催收作业稽核，提高效率收益、改善作业方法，提升合规；2、熟悉公司产品及作业流程，协助业务部对催收员进行基础培训及话术培训；3、监督推动稽核、监听录音、建立培训体系和机制，并稽核落实情况；4、完成日常工作报表。5、完成与银行的一切对接数据工作；6、每月公司员工业绩汇总与整合；岗位发展路径：稽核专员--稽核主管任职要求：1、21岁以上，专科以上学历，具贷后管理催收团队相关经验优先考虑，风格成熟稳重。2、实操性强，EXCEL函数熟练，具数据分析能力和具备良好的文字表达能力；3、逻辑性、判断力，抗压性强，细心、耐心、执行力强，有强烈的时间观念及保密意识；具高度的责任心和良好的职业道德。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,湾田某仓库诚聘***数据统计员,数据,3750.0,湖南锦辉铭商贸有限公司,长沙,0.0,无,岗位要求：1、限***，年龄20-40岁之间，中专以上学历。2、懂基本的电脑操作，熟练使用Excel、Word电脑操作，有一定财务经验者优先录用。3、做事认真、细致，对工作有强烈的责任心。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,数据专员,数据,4250.0,深圳国泰安数据技术有限公司,合肥,0.0,大专,任职资格：1）大专及以上学历，金融、经济、财会、工商、统计、数学或计算机类等相关专业；2）有数据处理（录入、编辑、清洗）经验者优先；应届生亦可；实习生实习期要求不低于3个月；3）熟练运用OFFICE办公软件，熟悉SQL、ORACLE数据库语言者优先；具有证券从业、会计从业资格证书优先；4）具有较强的学习能力；认真细致，勤恳踏实，积极主动，具备团队合作精神；5）少部分业务块有轮班需求（早班7:30-16:30、中班14:30-23:00，夜班22:00-7:00，正常白班8:30-17:30；轮班津贴另计）。岗位职责：1）负责集团中心数据库、CSMAR数据库、财经数据库经济金融相关数据的采集；2）负责个人、科研机构、金融类企业（券商、期货、基金、资管）等客户数据定制需求的需求分析及数据采集；3）数据及时性、准确性、全面性控制。岗位待遇：正式员工：3500-5000元/月，每月根据实际工作量发放额外绩效奖金，上不封顶。实习补贴：专科应届2600元/月，本科应届3000元/月；按公司政策享受绩效奖金等,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,数据库管理员,数据,5000.0,成都市迈技客空间信息技术有限公司,成都,1.0,大专,   负责数据整合及数据库维护任职资格：   1、熟悉SQL、Oracle数据库；   2、熟悉AutoCAD、CASS、ArcGIS等软件；   3、有不动产登记项目相关的工作经验优先；   4、具有较强的逻辑思维能力，善于沟通交流，能适应偶尔出差；   5、有严格的保密意识，具有职业道德及敬业精神；有较强的责任心和团队意识，吃苦耐劳，工作细致。,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,教务专员（数据分析、后台管理方向）,数据,5000.0,广东东湖棋院俱乐部有限公司,广州,0.0,大专,这里，有一个积极向上的公司氛围；这里，有完善的晋升机制与福利待遇；这里，也有一群斗志激昂的小伙伴！无论是身经百战的你，还是初出茅庐的你，只要你愿意尝试，公司平台为你开放！走进东记，在平凡工作中体现你的不平凡价值！【教务专员（数据分析、后台管理方向）】一、岗位职责：1、教务工作：负责统筹各校区老师工作安排，师资配比最优化；2、系统操作：负责内部管理系统的维护和利用系统进行各项数据分析；3、师资管理：负责协助部门主管开展师资考评与培训等工作；4、数据分析：负责分析棋院运营数据，分析业绩达成情况及趋势；5、行政工作：负责起草，协助审核、修订教师相关的各项机制，协助部门日常事务工作。二、任职资格:1、大专或以上学历，专业不限，1年以上工作经验，优秀毕业生也可；2、有一定的文书编写能力，对数据敏感者优先考虑，做事细心、认真、负责；3、沟通及协调能力强、具备主动积极的工作态度；4、熟练运用OFFICE办公软件。三、薪资待遇：4000-6000/月四、工作地点：五、工作时间：每周5.5天，周日下午周一全天休息六、员工福利：1、入职当月购买五险一金；2、享有带薪年假，具体按公司制度执行；3、丰富的团队建设活动（包含但不限于春游、生日会、茶话会等，让员工的工作与生活得到完美平衡），节假日礼品（春节、中秋节、妇女节等）；【公司简介】东湖棋院是全国规模领先的一家少儿棋类教育培训机构，国际著名投资机构风险投资企业，连续17年高速发展，在广东省内及全国各省进行网点布局。现诚邀各位年轻活力有理想的你们，加入中华民族儿童教育事业，共同为提升儿童综合素质贡献力量！棋院提供专业系统的在职培训，薪酬提升快，晋升空间广阔，五险一金福利齐全，欢迎你的加入！【公司文化】愿景：立足国内，拓展海外，成为儿童棋类素质教育领域最有影响力的教育机构。使命：传播中华优秀传统棋文化，以传统文化提升儿童素质教育水平。东湖官网：http://www.dhqy.com东记精神：教棋育人。对此岗位有兴趣的候选人，可直接投递简历，我们将会在2-3个工作日内进行处理。职能类别：										后勤																			市场分析/调研人员									关键字：办公室教学管理排课后勤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,大数据工程师,数据,12500.0,湖北卓信盛源新能源科技有限公司,武汉,3.0,大专,、负责数据统计与分析平台的研发与维护；2、负责根据产品经理和运营团队的统计需求，进行数据建模与分析；3、负责对用户行为数据的深度挖掘，用数据驱动产品迭代。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,人事专员（数据分析方向）,数据,4750.0,郑州来又来商贸有限公司,郑州,3.0,大专,岗位职责:1、负责公司销售业务相关的数据分析，为管理决策和运营提供建议和依据。2、梳理数据需求，制作输出常规数据报表，采集数据并利用统计方法监控运营结果。3、负责对应业务的运营数据和服务数据的监控，及时跟进业务异动。4、根据领导要求及时准确提供其他相关数据。任职要求：1、有营销类数据统计分析工作经验者优先；2、2年以上工作经验，大专及以上学历，统计学相关专业；3、对数字敏感，有独立的数据统计和分析能力，具备规范与严谨的统计操作技能；4、熟练使用办公软件。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,商品数据分析员,数据,5250.0,杭州爵派尔服饰发展有限公司,嘉兴,2.0,大专,						1.具备认真、诚信、品质、进取的价值观3.能承受较强的工作压力，良好的团队合作精神，责任心强，具备良好的服务意识4.熟练运用办公自动化系统，熟练运用Word、Excel等office软件5.有服装相关工作经验优先职能类别：										业务分析专员/助理									,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,数据统计员,数据,3250.0,昆明奇士网络工程技术有限公司,昆明,1.0,大专,岗位：数据统计员   职位描述： 1、每天收集汇总公司各部门数据、复核数据的准确性，形成报表提交领导； 2、通过数据分析，对公司生产流程进行监控； 3、做好统计资料的保密和归档工作； 4、协助部门其他事务； 5、结合统计指标体系，完善和改进统计方法；   任职资格： 1、年龄、性别不限，要求大专以上学历；  2、 有相关数据统计工作经验者优先；  3、精通办公软件，擅长Excel表格的应用，了解相关统计分析软件的操作和使用；  4、工作认真负责，保密意识强，承压能力较强，有良好的团队合作精神；   双休，法定节假日正常休息   工作时间：早上9:00-12:00，下午13:30-18:00 工作地点：昆明市盘龙区北京路408号达阵广场10楼（可乘2、23、26、47、83塘子巷站下车步行200米即到）   有意者请先投递简历，我公司进行统一面试安排，谢谢！,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,数据员,数据,4000.0,惠州彩运物流有限公司,惠州,2.0,大专,"工作职责：1. 熟悉仓储物流运作基本流程2. 仓配数据资料蒐集及基础分析进而能对各环节进行优化3. 具备仓库作业流程编制、设计、优化，作业指导书制定经验任职资格：1、大专以上学历，2年以上相关工作经验；2、有同类型零售物流或营运工作经验优先；3、有较好的抗压能力。三、公司福利（1）出粮准时，每月10日发放工资（2）工龄奖50—250元（3）公司设有员工内部推荐奖，内部推荐员工入职可高达300—1000元（4）免费住宿，宿舍有空调、饮水机、每层有洗衣机,住宿环境舒适（5）公司包吃，早餐、中餐、晚餐（6）购买团体意外险，社保、住房公积金（7）员工可在公司购买百货类产品，享受出厂价，价格远低于市场价格（8）享有开工红包、带薪年假、带薪年假5—15天、年终奖（9）享有各种节日福利，生日专属礼物（10）不定期有部门经费举办部门聚餐等活动工作地点：广东省惠州市大亚湾西区龙山一路56号公司附近公交站：鹏惠花园、德洲城、龙亿科技途径公交线路：317（B线）、317（A线）、128（A线）、266、366、268、336、惠阳7路、深惠1线联系人：张小姐  0752-5533728-8051 手机号码：",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
