,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Python,Matlab,Opencv,Tensorflow,Java,Linux,Caffe,Spark,Pytorch
0,算法工程师,算法,35000.0,上海佳依佳信息科技有限公司,上海,2.0,本科,"、算法框架的搭建；负责路径规划、机器学习，数据分析等算法的研发、前沿技术的研究与攻关；2. 人工智能工业化应用领域中，图像识别算法的开发、测试、调优；3、深度学习和生产工艺的结合过程中的算法开发，算法的性能评估及优化；4、负责分析和解决信控算法应用过程中出现的技术问题，负责算法的实现，测试和验证。任职要求：1、数学或计算机相关专业毕业，具备扎实的数学功底和算法功底；2、 精通数据挖掘，机器学习，整数规划等的基本理论和常用算法，并从事过相关研发工作；3、熟悉现代信号处理（KF、EKF、Particle Filter），优化算法（Numerical Optimization, 群类优化算法）；4、熟练掌握数学建模工具软件5、具备深厚的算法设计与实现能力，在机器学习和数据挖掘方面有深入研究者优先；6、至少熟练使用一种仿真软件及程序开发语言（C++，python等）；7、图像处理、模式识别及相关研究方向，从事过至少一项该方向的研发项目或开发项目，有实际项目的图像分析算法开发经验的优先考虑；8、较强的责任感，能承受较大工作压力，良好的分析和解决问题的能力、学习能力和团队协作能力。",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,算法工程师,算法,17500.0,南京鼐云信息技术有限责任公司,南京,2.0,本科,岗位职责1、参与大数据分析项目的可行性分析、技术可行性分析和需求分析；2、负责或参与处理核心算法的研究、设计、优化、改进及代码实现；3、负责系统的详细设计工作（按项目具体要求，承担软件的设计与开发）；4、负责系统的编码实现（按系统设计完成功能模块编写）；5、制定及维护所负责研发项目的详细技术文档。任职资格1、本科及以上学历，数学、计算机、图像处理相关专业，高学历优先；2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通C++、Matlab等编程工具；4、按照详细设计说明书，独立完成程序单元的编码和调试任务，能定位程序问题、分析和解决问题；,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,雷达算法工程师（实习）,算法,7000.0,北京凌波微步信息技术有限公司,北京,0.0,本科,岗位职责：1、负责雷达算法的研究；2、参与雷达项目，负责算法仿真验证、实验数据分析；配合项目联调，分析信号处理算法相关问题；3、负责算法嵌入式平台实现、仿真和维护。任职要求：有算法实现经验优先（嵌入式平台，如DSP或FPGA）；1、通信、电子、计算机相关专业，本科以上学历；2、熟练掌握C语言和Matlab语言，具有相关代码开发经验；3、有算法实现经验优先（嵌入式平台，如DSP或FPGA）；4、沟通能力强，具有团队合作能力和协调沟通能力。,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,算法工程师,算法,12500.0,深圳国技仪器有限公司,深圳,2.0,本科,岗位职责：1、负责算法方案编制、算法详细设计；2、协助MCU嵌入式软件或PC软件实现算法；3、负责分析仪器算法测试；4、解决分析仪器量产后算法新的需求和算法优化设计。任职条件：1、数学、信号处理、计算机、控制、光学等相关专业，本科或硕士学历；2、熟悉数据建模定量分析，熟悉最小二乘法、多元线性回归、离散傅里叶编换（FFT）等数据分析方法；3、熟练使用matlab处理数据，掌握C编程语言；4、了解光谱、光谱仪等基本理论及原理，有光谱分析算法开发经验者优先；5、熟练阅读英文文献；6、动手能力强，具有强烈的责任心和团队合作精神，良好的沟通和较强的学习能力。,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,算法交易员,算法,10000.0,上海你我贷互联网金融信息服务有限公司,上海,0.0,大专,岗位职责：1、负责指定账户的操盘和交易；2、确保在规定范围内完成资金账户的操作交易任务；3、结合资料，对后期走势做出合理判断；4、严格执行指令，遵从市场交易规则；5、维护日常交易正常进行，监控市场风险；6、跟踪相应正股的基本面和行业变化，根据市场/券商消息分析；7、把握市场机会，确保账户稳定盈利，尽可能达到利益最大化；8、参与实盘，选择适合自己的有效交易手段，形成自己的体系。任职条件：1、每周一到周五至少上班4天，特殊情况可请假；2、了解金融投资行情，对操盘有浓厚兴趣，致力在本行业发展；3、学习大宗商品、股票、衍生品等交易品种的基本操盘技巧；4、工作时间内必须严格盯盘，合理止盈/止损，力图收益最大化；5、优秀的职业道德和敬业精神，有良好沟协调能力；6、每周五一份交易报告（总结该星期的盈利/亏损状况分析、总结）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,资深图像处理算法工程师（西安）,算法,24000.0,深圳市大疆创新科技有限公司,西安,5.0,硕士,职责描述：1. 负责图像处理相关算法的原型设计、性能仿真以及优化；2. 负责图像处理相关模块的系统设计、实现以及优化；3. 负责图像处理相关算法的实现以及开发过程中的项目管理工作，组织不同算法团队之间的分工、迭代、沟通等工作。任职要求：1. 图像处理专业、模式识别、通信、信号处理等相关专业硕士及以上学历，5年以上相关工作经验；2. 熟悉lSP基础架构，对lSP整体链路的开发和画质调节有一定理解，熟悉相机业务；3. 熟悉C/C++/python/matlab语言，有一定的图像类算法优化经验和嵌入式开发经验的优先；4. 了解一般的机器学习算法，了解相机相关业务（人脸识别、分割、检测、融合、增强等）的性能和实现；5. 工作严谨，认真负责，善于沟通，具备较强的抗压能力，勇于接受挑战，有一定团队管理经验者优先。,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C语言算法工程师,算法,17500.0,上海众人信息技术有限公司,上海,3.0,无,一、岗位职责：1．参与产品需求分析、概要设计、详细设计、数据库设计；2．负责开发技术选型、框架搭建、关键或复杂组建的编程实现；3．负责相关系统和模块的系统设计文档的撰写；4．负责软件系统核心功能的代码实现；5．参与设计评审和代码评审等相关质量保证工作；6．根据项目或部门的整体工作安排提供技术支持。二、任职要求：1.精通C编程语言，2年以上c开发经验。掌握gcc、clang或llvm等编译体系和make、cmake等构建技术；2.能够熟练使用C语言标准库，熟悉常见的C语言数据结构和算法；3.熟悉关系型数据库（MySQL、Oracle、SqlServer、Acess等)，能够进行数据库设计，开发数据库应用程序4.了解C语言规范（C89/C90、C99），了解C语言跨平台编程；5.能够熟练使用gdb调试C语言程序；6.有良好的数据结构基础，具备一定的算法设计能力；7.对SM3/SM4加密及算法熟悉及了解者优先;8.有radius认证服务开发经验者优先，有软硬件接口设计相关工作经验者优先；,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,控制算法工程师,算法,27500.0,上海物景智能科技有限公司,上海,3.0,硕士,、负责移动机器人相关算法的研究，理解前沿的理论2、实现算法仿真3、将算法应用到产品中，进行开发、调试、优化任职要求：1、硕士研究生及以上学历，数学基础较好。2、熟悉C/C++编程3、具备机器人相关算法研究经验（例如SLAM、运动控制、路线规划、视觉算法等）4、有在以上相关领域发表论文、专利者优先5、具备良好的团队合作和沟通能力，具备良好的学习钻研能力,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,算法工程师,算法,20833.33,宁波港信息通信有限公司,宁波,2.0,本科,岗位职责：1、负责物流交通、运筹优化算法研究，主要应用于码头实时生产作业控制优化，提升作业效率、降低作业成本，路径优化等。 2、能够进行人工智能、机器学习研究，主要应用于集装箱码头的堆场作业计划、智能配载、作业控制等领域。岗位要求：1、优秀本科、硕士及以上学历，2年以上相关工作经验，计算机相关专业方向，数学功底良好；2、熟悉C/C++、Python等编程语言，能够完成算法的设计、编码和验证工作；,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,飞控系统算法工程师,算法,17500.0,江苏中科智能制造研究院有限公司,泰州,0.0,硕士,工作职责：负责无人机飞控导航控制算法的设计和实现、相关传感器及用户协议接口编写等，并结合实际应用场景完善飞控系统。岗位要求：1、相关学科背景硕士及以上学历；2、扎实的C++语言功底，良好的编程风格；3、掌握控制、导航相关知识，对PID/EKF/DCM原理及工程应用有深刻理解和项目经验；4、熟悉Pixhawk等开源飞控或具有飞控产品开发经验者优先；5、具有较强的学习能力、理解能力和问题解决能力；善于沟通，具备团队合作意识。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
