,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Linux,Ip,Excel,Cad,Tcp
0,无线室分通信设计工程师,通信,6000.0,杭州众横科技有限公司,苏州,0.0,大专,无线室分设计岗位职责：1.负责室分项目的勘察设计；2.结合用户业务需求，开展用户技术交流与沟通，负责通信工程方案设计、修改及会审等设计工作；3.协助解决工程施工中出现的问题；4.负责室内分布系统的勘察、设计、站址的勘察和信源选择等工作；5.负责室内分布建设工程设计流程，可以独立完成设计方案；任职要求：1.通信工程、计算机科学等相关专业，专(本)科生以上学历；2.了解通信和信息化方面相关的法律法规；3.了解移动通信相关专业知识和技术发展动态；4.具备相应的计算机使用能力，会使用AUTO CAD绘图软件，会使用天越或VISIO设计方案；5.具有较强的团队合作意识，具备一定的组织管理、沟通协调和语言表达能力。6.适应出差，工作地点江苏地区。现居住地为当地省优先考虑。,0.0,0.0,0.0,0.0,1.0,0.0
1,技术支持工程师（通信方向）,通信,7000.0,西安立诚致远网络科技有限公司,西安,0.0,高中,、负责检测现有终端信号问题，并提出优化方案。2、负责宏站站点信号检测，拉网等。3、负责客户投诉，网络问题答疑，事件跟踪，圆满完成并备案。4、协助辖区负责人优化网络端信号问题，出报告。职位要求：1、通信，网络，电子，计算机等理工科专业，大专及以上学历；2、四路清晰，能适应短期出差，工作积极负责；3、工作经验不足者可由老员工待；4、应、往届及有意向从事网络信号测试者均可加入。福利待遇：1、不受专业限制（工作易上手，采取师徒制）2、行业前景好，晋升空间（技术或管理两路线）3、弹性工作，可学习的机会多。4、公司看重态度大于个人能力。,0.0,0.0,0.0,0.0,0.0,0.0
2,通信软件（C++）开发工程师,通信,17500.0,深圳市喜悦智慧数据有限公司,深圳,5.0,本科,、扎实的c++语言基础，有Qt开发、Epoll网络模型或者分布式系统编程经验优先；2、熟悉Linux平台下的C/C++开发，有linux方面四个以上中型项目经验，安防交通可优先；3、负责大型应用程序开发及调试，维护现有软件，并对其功能升级；4、工作踏实，有责任心，适应加班，具有良好的团队合作能力，完成领导安排的其他任务。岗位要求：1、本科以上学历，计算机，软件，电子，自动化等理工科专业毕业；2、细心谨慎，思维缜密。具有良好的沟通能力和团队合作精神，工作责任心强；3、精通C++及Windows/Linux下开发工具的使用；4、熟练使用调试工具，能够快速定位问题，解决问题；5、具备独立设计开发中等以上规模系统软件模块能力；6、熟悉TCP/IP协议，精通网络应用开发；7、熟悉串口通信协议；8、熟悉数据库应用开发；9、对大型高并发系统或者分布式系统有深入研究和实际开发经验。您的加入将会为我们带来更多的精彩1.我们希望这样的人加入我们的团队：(1)做事认真严谨、有责任心有担当、有远大梦想、想成功的干一番大事业；(2)有良好的团队精神及团队协作能力；(3)有想法、敢于表达想法，敢于施展十八般武艺；(4)除了学历，也一定要有学习的欲望和能力。(5)渴望通过个人努力推动企业发展的；2.在这里，你将会得到：(1)持续成长的环境和空间；(2)持续提升个人素质和技能；(3)持续展现自我价值和人生梦想。良马有志，期乎千里，欢迎有志之士的加入。公司地址：深圳市罗湖区笋岗东路1002号宝安广场B座23楼2301室联系电话：0755-82238555公交站台：儿童公园公交站台，正前方步行100米即到宝安广场田贝(1)公交站台，步行1000米即到地铁站：3号线晒布站C出口/翠竹站D出口，步行10分钟左右即到,1.0,1.0,1.0,0.0,0.0,1.0
3,电子工程师（光通信行业）,通信,6250.0,宁波环球广电科技有限公司,宁波,0.0,无,"岗位职责：1、高速光模块TRX产品电路设计开发，并制作存档；2、产品调式，可靠度验证测试；3、产品生产导入并根据产品性能进行改进；4、异常处理。任职资格：1、本科及以上学历，电子信息工程或通信工程专业,优秀应届生可；2、有从事光收发模块经验者优先录取；3、熟练应用C语言，熟练单片机编程和应用，会使用AD/matlab/labview等应用软件；4、英语四级以上，动手能力、责任心强。",1.0,0.0,0.0,0.0,0.0,0.0
4,通信工程师,通信,7500.0,重庆润丰工业设备安装工程有限公司,重庆,0.0,本科,具有通信或通讯专业中级以上职称的专业技术人员,0.0,0.0,0.0,0.0,0.0,0.0
5,资深专利代理人（通信类）,通信,13000.0,武汉智权专利代理事务所（特殊普通合伙）经开分所,武汉,1.0,本科,工作内容：国内专利申请文件撰写、答复审查意见撰写、复审、无效请求撰写；专利检索、专利导航、专利预警、为客户提供咨询意见。任职资格：1、全日制本科及以上学历，专业要求：信息与通信工程、电子科学与工程、微电子、计算机科学与技术、光信息科学与技术；2、具备扎实的专业知识及较强的写作、逻辑分析、沟通表达等能力；3、具备良好的英语听说读写能力者优先录用；4、熟练使用VISIO；5、有相关经验者优先考虑。薪资构成：基本工资+岗位工资+绩效奖金+全勤奖金+餐补,0.0,0.0,0.0,0.0,0.0,0.0
6,通信工程师,通信,5250.0,陕西祥硕建筑工程有限公司,贵阳,0.0,大专,任职要求：1.从事移动网络技术标准的运维与执行；2.移动网络运营维护、技术支持等工作；3. 设备软件测试、调试、交付使用；任职要求：1.通信、电子、计算机、机械、数控等理工专业优先；2. 欢迎应届生应聘；3. 具有较强的沟通能力和组织协调能力，能够合理、有效地协调各项相关工作，工作严谨、认真、细致，具备一定的计算机操作能力,0.0,0.0,0.0,0.0,0.0,0.0
7,通信设计工程师,通信,6000.0,北京杰迈科技股份有限公司,北京,2.0,大专,【岗位职责】1、负责传统室分及新型室分勘察、模测、设计方案输出等工作；2、负责通信工程项目竣工及决算文件制作等工作；3、负责与各运营商、设计院、建设单位相关人员沟通和协调；4、领导交代的其他工作。【任职要求】1、通信、电子信息、计算机专业大专及以上学历，室内覆盖系统设计2年以上工作经验；2 、熟悉无线通信、线路组网、各种传输及基站设备，熟悉室分工程所用各种材料、线缆及设备；3、熟练掌握各种信号测试、AutoCAD、天正、经纬度地图定位及其他办公软件的使用，熟练使用模测设备；4、有通信行业或建筑行业概预算经验者优先；5、有较强的沟通能力和协调能力。,0.0,0.0,0.0,0.0,0.0,0.0
8,通信线路维护员,通信,4500.0,辽宁盈讯建筑劳务有限公司,沈阳,1.0,高中,、负责传输、专线、线路故障抢修管理；2、负责线路维护指标考核管控；3、负责完成故障抢修及巡检提交的隐患进行整改4、做过线路维护工作者优先。任职要求1、有代维经验者优先；2、熟悉传输、基站、铁塔业务优先；3、能吃苦耐劳，有责任心；4、工作积极主动，认真负责、责任心强，善于沟通，能够独立处理解决问题的能力。,0.0,0.0,0.0,0.0,0.0,0.0
9,土木工程设计师（通信方向类）,通信,11000.0,广东南方电信规划咨询设计院有限公司,深圳,1.0,本科,完成土建相关专业项目的勘察、设计工作。1.1年以上的土建项目设计经验；2.熟悉设计流程，具备独立完成土建相关项目的勘察设计能力；3.具有团队协作能力，责任心强；4.建筑、建筑电气、给排水或造价相关专业本科及以上学历。职能类别：										结构/土木/土建工程师																			建筑设计师									关键字：建筑建筑电气给排水设计通,0.0,0.0,0.0,0.0,0.0,0.0
