,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Cad,Pmp,Word,Ppt
0,项目管理工程师/项目主管,项目管理,7500.0,上海智科仪器设备有限公司,上海,3.0,大专,岗位职责：1、负责公司产品及服务的售前及售后服务支持工作；2、按照公司要求和项目情况有效地完成售后任务，并能独立处理和解决所负责的任务；3、跟踪实验室集成项目执行过程状况，并根据遇到问题作出解决对策；4、对项目实施过程进行监督和反馈；5、配合项目交货交接和验收工作。任职要求：1、工作踏实认真，具有强的责任心和积极的工作态度；2、具有快速的学习能力和适应能力；3、有较强的沟通能力能够随机应变，能够适应团队协作并能独立完成项目；4、具有一定的抗压能力并能熟悉实验室设备和项目集成或有一定的售后经验者优先考虑。,0.0,0.0,0.0,0.0,0.0
1,项目管理经理,项目管理,22500.0,融创（深圳）房地产有限公司,深圳,5.0,本科,岗位职责:1、负责控制工程项目的现场施工进度，确保工程项目进度计划的完成；2、严格监督工程项目施工质量，参加工程检查验收，隐蔽验收及工程材料检查验收；3、参加工程现场经济签证的审查确认，确保工程项目成本控制目标的实现；4、负责协调总、分包配合工作及现场工程的日常管理工作。任职要求:1、统招本科及以上，土木工程、工程管理等专业；2、7年以上工作经验，5年以上房地产公司工程工作经历，至少有2年地块负责人管理经验；3、优先考虑有山地项目经验的人员；4、较强的现场施工组织能力及沟通、协调和管理能力，责任心强，有较强的团队合作意识。,0.0,0.0,0.0,0.0,0.0
2,电子电器多国认证项目管理专员,项目管理,6500.0,SGS通标标准技术服务有限公司上海分公司,上海,0.0,本科,"负责电子电器产品的国际认证专项事务，包括认证咨询，报价，国际认证项目申请等；-负责国际认证项目管理、定期更新项目进度给内外部客户，保证项目按计划完成；-负责了解最新的法规标准及技术要求，定期维护和更新国际认证的SOP和数据库；-负责与海内外合作机构的关系建立与维护，策划邀请合作机构来访及招待，商谈合作事宜。-配合市场部的认证推广活动，参与研讨会或者客户拜访，内外部客户培训；-负责认证相关的记录及其他日常事务。职位要求: -本科学历，电子电气相关专业、或西班牙语、日语、阿拉伯语相关专业者优先；-工作经验不限，有无线背景或外贸背景优先；-良好的组织协调与沟通能力,有团队合作精神;-做事细致有耐性、逻辑思维及自学能力强;-能够独立完成工作，自我激励及抗压能力强;-熟练操作各类办公室软件;-英语四级或以上，良好的英语听读说写能力，有第二外语优先考虑。福利 五险一金;补充公积金;员工旅游;餐饮补贴;免费班车;专业培训;年终奖金;定期体检;带薪年假;高温补贴;节日福利",0.0,0.0,0.0,0.0,0.0
3,采购项目管理-南京,项目管理,12500.0,霍尼韦尔（中国）有限公司,南京,0.0,本科,"要求：做过电子元器件的采购，有新项目采购经验，沟通协调能力强，英文流利！At Honeywell, we look for people driven by a desire to  contribute, be challenged and grow. Our people make Honeywell a special company  and are a key competitive advantage. Be part of NPI team assessing and driving achievement of  program specific performance within Honeywell Safety Productivity Solutions.  The role will work closely with the NPI Program Manager and Design Engineering  Team, within HIS sourcing organization, and Business Unit leadership in the  areas of NPI launches and Productivity acceleration.在霍尼韦尔，我们寻找的是那些渴望贡献、挑战和成长的人。我们的员工使霍尼韦尔成为一个特殊的公司，是一个关键的竞争优势。作为新产品导入团队的一员，评估和推动霍尼韦尔安全生产力解决方案的具体项目绩效。该职位将与新产品导入项目经理和设计工程团队紧密合作，在他的采购组织内，以及新产品导入启动和生产力加速领域的业务部门领导。Principal  Accountabilities:? Represent sourcing team as key drivers in NPI project for  most suitable supplier base selection. ? Drive NPI projects for respective LOB’s to successful  completion on time and meeting project needs for cost and cycle time? Pull through PSL supplier savings on current business when  awarding NPI? Partner with sourcing stakeholders, including Product  Management to ensure appropriate sourcing measures and metrics are in place and  deployed that measure progress against initiatives ? Deliver KPI’s and develop necessary corrective action  plans if need? Communicate with engineering teams to align project  expectations from sourcing? Support Technology symposiums for Design Engineers? Maintain continuous in-depth knowledge of market  conditions, industry trends, and developing technologies ? Deploy processes that are consistent with the sourcing  strategies.? Maximum Improve 2nd source and incumbent PSL  implementation during NPI stage? Support the selection and management of suppliers who have  the capacity and capability to meet the material and subcontract needs of the  project. ? Manage all Sourcing escalations related to related NPI  projects.代表采购团队作为新产品导入项目中最合适的供应商基础选择的关键驱动力。推动各LOB的新产品导入项目按时完成，满足项目的成本和周期需求?在授予新产品导入时，通过PSL供应商在当前业务上的节省?与采购干系人(包括产品管理人员)合作，确保适当的采购措施和指标到位并部署到位，以衡量针对项目的进展交付KPI并根据需要制定必要的纠正措施计划与工程团队沟通，协调从采购到的项目期望?为设计工程师提供技术研讨会支持?持续深入了解市场状况、行业趋势和开发技术?部署与采购策略一致的流程。?在新产品导入阶段***限度地改进第二大来源和现有PSL实施?支持有能力和能力满足项目材料和分包需求的供应商的选择和管理。 管理与新产品导入项目相关的所有采购升级。",0.0,0.0,0.0,0.0,0.0
4,项目管理专员,项目管理,9000.0,交通银行信用卡中心,上海,2.0,本科,岗位职责一、  协助制定和完成指定项目经营指标，对指定项目专项预算进行控制，根据指标有效使用预算。协助完成负责联名卡的年度和季度业务回顾。   二、  与合作伙伴保持有效沟通，按计划执行产品和服务更新。   三、  协助经理策划并执行有联名方特色和优惠的联名卡活动。   四、  协助经理制作项目回顾报告，按期对项目进行年度、季度业务回顾，提升项目管理经验。五、  协助制定联名卡产品生命周期管理办法，有效管理联名卡产品组合，提升合作价值及产品的盈利性。   岗位要求一、  全日制大学本科及以上学历，2年以上相关工作经验二、  具备金融、银行、信用卡、市场营销等相关行业知识  三、  具有一定活动策划及数据分析能力  薪资福利一、  提供具有市场竞争力的薪资待遇； 二、  依法缴纳“五险一金”，并交纳补充公积金和补充商业医疗保险； 三、  提供上、下班交通补贴和其他现金福利，以及节假日和生日慰问； 四、  提供免费早、中工作餐； 五、  依法提供独生子女奖励和入托费用报销； 六、  提供年度健康体检和工作行服； 七、  优于法定休假规定的带薪休假制度。,0.0,0.0,0.0,0.0,0.0
5,项目管理,项目管理,7000.0,宏华集团有限公司,德阳,5.0,本科,任职资格：1、管理专业及机械制造专业，年龄25-40岁；2、5年及以上管理工作经验或者技术工作经验；3、沟通能力较强，具备一定的书写能力；职责描述：1、作为项目组的领导人和决策人，确立组员的分工职责；2、根据项目范围、进度、质量、成本等综合因素的考虑，进行项目的总体规划与阶段计划；3、负责具体项目的管理，制定项目实施计划，进行整体的沟通与协调；4、对潜在的项目风险进行预测和分级，并制定调整计划和应急策略；5、负责项目合同范围外的变更，及时和用户签署变更文件；6、做好与用户的协调和沟通工作，不断提高客户满意度；7、负责协调各种资源完成钻机项目、优化项目生产流程，确保项目按期交付。,0.0,0.0,0.0,0.0,0.0
6,项目管理（数通项目）,项目管理,11500.0,深圳市宇轩网络技术有限公司武汉分公司,武汉,0.0,本科,工作内容：1、参与及负责产品、研发、测试相关流程及制度体系的建设，并负责相关流程在项目中的宣导及落地实施；2、制定项目进度计划，并在实施过程中，开展内、外部人员的沟通及协调工作，督促项目按计划完成；3、负责跟踪、汇总所有项目的进度、质量，进行项目状态分析及考评，对项目执行中的问题要及时反映、督促并协调解决；4、有效地组织召开项目相关会议，做好日常、阶段性及关键里程碑的项目汇报，组织各类评审，检查及验收各阶段项目交付物；5、不断发起必要的变革，采用快速小幅迭代的方式，牵引产品研发体系项目的过程速度、资源效率、结果质量的不断提升；6、对项目定期分析、评估，为决策者提供决策支持。7、支撑PMO体系执行和改进，关注项目过程执行，识别、推进交付体系过程改善。任职要求：1、本科及以上学历，计算机(网络)、软件工程、电子技术，通信相关专业；2、有3-5年以上软件项目管理（PM）工作经验；3、了解部分主流的项目管理，例如PMBOK、ICB、PRINCE2、CMMII等；4、逻辑性思维，良好的人际关系处理能力、沟通能、协调能力，高情商，细致、踏实的完成工作；5、有大中型企业数通项目管理经验优先,0.0,0.0,0.0,0.0,0.0
7,项目管理/项目经理,项目管理,12500.0,浦俄（上海）创业孵化器管理有限公司,上海,3.0,本科,项目管理 工作职责 项目计划  1、组建跨部门的项目团队，依照内部/外部要求制定项目计划；  项目实施  1、定期召开项目会议回顾和监控项目结果，确保项目“按时间、按规范、按预算”进行；  2、与外部客户保持定期联系，以取得他们的支持；  3、与项目组成员保持定期联系，监控和督促客户项目按计划实施；  4、定期向客户及管理层汇报项目情况，及时发现风险，并及时报警  5、与客户和相关部门协同完成所有内部与外部认可；  6、组织项目总结会议以回顾整个项目过程，评估重大风险事件，总结经验；  7、根据质量体系的要求，收集项目文件并归档。 任职要求 1、大专以上学历，理工科相关专业，3年以上公司项目管理或相关产品经验。 2、有技术转移转化、技术转让、技术咨询、技术中介等项目经验者优先； 3、熟练使用EXCEL等办公软件； 4、较强的沟通、理解和分析能力；良好的职业操守及团队合作精神， 5、责任心强，配合度高，工作认真细心、积极热情。福利待遇：公司提供完善的培训和行业内领先的福利待遇，五险一金、带薪培训、项目奖金、年终奖、节日福利等。,1.0,0.0,0.0,0.0,0.0
8,项目管理经理,项目管理,15000.0,上海金取教育科技有限公司,上海,3.0,本科,）根据公司下达的目标，协助总经理制定并完成年度、季度、月销售业绩指标；2）负责销售团队的招聘、培训、管理，建设一支有凝聚力、战斗力的销售团队；3）规划市场目标、方案，进行市场渠道开发，保障项目所需的市场资源；4）负责销售、教学、行政等跨部门的沟通对接，高效合作，提供顾客优质的教学服务；5）参与及指导市场部的线上、线下推广活动、招生与宣传活动。任职要求：1）有教育行业背景，对教育行业极其热爱者优先；2）本科及以上学历，专业不限；有教育培训行业多年销售管理经验者可以放宽到大专学历。；3）3年以上工作经验，1~2年一线销售实战经验，2年以上销售管理、运营管理经验；4）有强烈的事业心、进取心，有学习力、踏实肯干。,0.0,0.0,0.0,0.0,0.0
9,项目管理,项目管理,12500.0,联宝（合肥）电子科技有限公司,合肥,3.0,本科,工作职责:1、产品生命周期管理，组织项目团队制定合理的项目计划，驱动项目团队达成项目既定目标；2、PCR生命周期管理，领导项目团队完成PCR的评估，执行及导入，关注成本优化的机会并落实；3、项目流程的设立，执行，追踪及优化；4、主持参与项目相关之BMS，执行过程管理，及时发现并协调解决与计划相冲突的关键问题点；任职资格:1. 本科及以上学历，电子，会计，英语，商业管理类专业2. 4年及以上电子类项目管理经验 3. 具备团队管理经验，流程优化能力 4. 英语熟练 CET 6以上5. PMP证书6. 6sigma资质优先考虑,0.0,0.0,1.0,0.0,0.0
