,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Android,App,Web,Css,Java,Javascript,C,Js
0,移动开发工程师（初、中级）,移动开发,9583.33,珠海市公安科技研究所（珠海市证件制作管理中心）（珠海市保安培训考试中心）,珠海,2.0,本科,、负责移动端开发需求分析； 2、根据产品要求提供移动端应用软件的开发实现。 岗位要求： 1、计算机或相关专业，2年以上Android/iOS或Html5移动开发经验；   2、精通Java、C#等语言，数据库相关基础知识扎实；   3、熟悉Android/iOS平台，熟悉Android/iOS技术体系下的开发；   4、精通HTML5/CSS/JavaScript/JSON/XML/Ajax等前端技术，熟练使用JS编写面向对象的应用程序，熟悉至少一种JS框架（jQuery、Vue、Angular等）；  5、对于HTML5技术领域、新兴Web标准、Web发展趋势和移动端发展趋势有良好洞察力和极高关注度，有强烈的求知欲；  6、有良好的沟通协调能力。,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,移动开发工程师,移动开发,12500.0,赞同科技股份有限公司,上海,0.0,无,【岗位职责】1.负责参与公司API网关（互联网开放平台）产品移动端研发；2.参与产品项目需求分析，与服务端工程师协同合作完成合理的技术实现方案；3.负责维护和优化移动端代码，保证代码质量，确保平台安全高效地运行；4.结合项目实际情况，持续关注移动端技术，保持深入性学习；5.实际项目研发中碰到的其他移动端技术工作；【岗位要求】（Android和iOS看各自领域技能要求即可） 本科学历及以上，3年以上Android或iOS工作经验(技术大牛学历经验均不限)；熟悉Android或iOS应用开发的相关设计模式和优化方法；精通Android平台的应用开发，具备扎实的Android/Java编程基础；擅长UI编程，能熟练的自定义UI组件，会应用 Android NDK开发；熟悉Android Studio开发环境，熟悉Gradle/Groovy构建安卓版本发布流程；掌握/精通Objective-C/Swift开发语言，熟练使用Xcode等开发工具；掌握iOS 界面开发规范以及AppStore上架流程和规则；熟悉http/https协议，熟悉JSON/XML，熟练掌握客户端和服务端通讯方法；熟悉Socket、RESTful编程、支付、分享、SQLite数据存储、图片缓存等； 具备突出的工作激情，自学能力强，抗压能力强，责任心强； 熟悉敏捷开发模式，团队沟通协作及执行能力强；,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,移动开发工程师,移动开发,8000.0,江苏红豆物联科技有限公司,无锡,1.0,本科,职责：1、根据客户需求，负责Android应用程序软件的架构设计；2、负责建立Android应用程序软件的开发框架；3、负责Android软件的设计、编码和测试；4、学习并掌握Android开发平台的新技术，新方法，并根据实际情况提出客户端软件改进建议或意见；5、负责公司移动智能终端产品的界面开发等工作。任职要求：1、熟悉Oracle，MySQL等数据库技术，精通JAVA语言，掌握J2EE架构；2、3年以上Android实际开发经验，熟练掌握各种常用核心组件，有实际成功案例者优先；3、熟悉Oracle，MySQL等数据库技术；4、计算机等相关专业本科（含）以上学历。（工作地点深圳、上海、无锡））,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,移动开发工程师,移动开发,8000.0,湖南助飞软件有限公司,长沙,3.0,本科,岗位职责：1、负责公司移动端产品的开发，包括Android、IOS、微信端的产品；2、熟悉ios和android系统及开发环境；3、负责混合开发类产品的前端开发、打包和发布。任职资格：1、三年以上开发经验，能提供之前开发的产品展示；2、熟悉Web（HTML/CSS/Javascript) 、JQuery、JSON、H5 及页面布局，了解 Web 标准和标签语义化；3、熟悉主流前端框架，有Vue/React/Angular开发经验者优先；4、熟悉echarts的应用；5、有后端开发经验的优先考虑，熟悉Node.js；6、了解并能解决常见的浏览器兼容性问题；7、良好的沟通能力和团队协作精神，有较强的研究能力和学习能力，具备专业的工作态度；8、对用户体验，交互有成功案例者优先；9、代码风格要良好，代码可读性要高；10、有在appstore上发布软件者优先,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,移动开发工程师（React Native）,移动开发,12500.0,苏州太谷电力股份有限公司,南京,0.0,本科,具体要求：1、拥有1年以上ReactNative 实战经验，熟悉React Native开发框架和组件，熟悉Javacript，Css；2、全程参与一款以上APP的开发和上架，有完整的设计、开发、部署、上线项目经验 ；3、精通主流机型的页面兼容和版本适配；4、能够准确还原或复制复杂的交互细节和动画效果；5、优秀的团队协作，主动沟通，抗压能力强；6、211、985院校毕业优先考虑。加分项：1. 熟悉与iOS/Andriod原生之间的交互优先；2. 开发过React Native模块，动画库，或底层通讯协议；3. 拥有微信小程序或其它前端开发经验4. 在开源社区有代码贡献岗位职责：1、负责客户端APP开发及维护；2、与原生iOS/Andriod代码联调。,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,资深移动开发工程师（Android）-TMMS,移动开发,20000.0,趋势科技（中国）有限公司,南京,0.0,无,"Trend Micro Mobile Security is a mobile app providing comprehensive protection for Android devices. It safeguards againstvirus, privacy issue, fraudulet websites and providesother systemutilites. The Mobile Security team is looking for a talent to develop new products and solutions on various Mobile environments (mainly on Android, iOS is a plus.).The job responsibility includes:-Design and implement new user-facing features in Trend Micro's products.-Build the libraries and frameworks that support sophisticated security features or user engaging features.-Optimize mobile applications on Android platform.-Develop security feature on Android system level .-Writingdesignspec,qualitycodesandunittests.Minimumqualifications:-BA/BS degree in Computer Science or related technical field or equivalent practical experience.-3 years of relevant work experience.-Experience in mobile or web application development. Programming experience in Java.-Working proficiency and communication skills in verbal and written English.Preferred qualifications:-1 or more years of Android application development experience.-1 or more years of Linux driver development experience.- Familiar with Linux kernel -Knowledge of the Android SDK performance tools and optimization techniques.-Knowledge of Android framework and embedded system.-Interest and ability to learn other programming languages as needed.-Master's or PhD in Computer Science or related technical field.-Experience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python, JavaScript, Go, Objective-C, Swift.职能类别：										互联网软件开发工程师																			手机应用开发工程师									关键字：",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
6,移动开发应用工程师,移动开发,12500.0,泰康保险集团股份有限公司武汉后援基地,武汉,2.0,本科,）负责移动端软件产品开发，包括原生APP、WebAPP、微信公众平台等产品；2）负责移动端APP架构设计，核心技术选型等工作；3）能够独立完成移动端APP开发工作，解决开发过程中的关键问题和技术难题；4）配合前端UI设计师实现UI界面和场景交互功能，提供优质的用户体验；5）配合后台开发工程师实现前后台数据交互及调优，保证良好的产品性能；6）有强烈的求知欲，对互联网新技术有热情，自学能力强。任职要求：1）大学本科及以上学历，两年以上开发工作经验；2）熟练使用Html5、CSS3设计页面布局，对交互体验有较为深入的了解；3）熟练掌握JS、Jquery、Json等前端开发技术；4）熟练应用Jquery Mobile、Bootstrap等主流前端框架开发；5）具有微信公众平台、微信开放平台项目开发经验；6）有React Native，VUE开发经验者优先；7）有IOS 或Andorid平台开发经验者优先。备注：***,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,移动开发工程师,移动开发,12500.0,杭州拓格人力资源管理咨询有限公司,杭州,2.0,本科,岗位职责：1.负责Android、IOS产品的开发，包括：需求收集、技术分析、构架设计及详细设计；2.根据项目任务计划按时完成软件编码和单元测试工作；3.按照开发流程编写相应模块的设计文档；4.解决研发过程中的关键问题和技术难题;5.协调和指导的其他开发人员的开发工作;6.协助上级保证研发工作的质量和进度。7.参与项目的需求分析和模块设计，独立完成开发工作，进行模块测试，保证代码质量。学习和研究新的移动互联网技术并尝试应用到产品中。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,移动开发工程师,移动开发,8500.0,四川成焊宝玛焊接装备工程有限公司,成都,5.0,本科,岗位职责：1、负责微信、企业微信二次项目开发；2、协助移动端与公司MES产品的接口。任职资格：1、熟悉移动端开发；2、能独立担当项目管理与设计、数据库设计，控制项目成本，与用户进行需求沟通并设计解决方案；3、有MES、ERP、生产管理等软件开发经验优先；4、能接受一定频率的差旅工作。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,react-native移动开发,移动开发,12500.0,常州好开心网络科技有限公司,常州,2.0,大专,职位信息1、使用reactnative和reactjs进行移动应用研发；2、封装reactnative原生组件，并iOS与android客户端集成；3、使用reactnative进行前端开发并对代码进行合理的注释；4、负责通过技术提升用户体验和可用性；5、持续改进移动app性能、安全性、稳定性和可扩展性；6、团队协作，参与到产品开发的每个环节。职位要求：1、1年以上reactnative开发经验，对移动端架构有一定的理解，至少参与过1个完整项目的开发；2、精通javascript，有ES5/ES6开发经验；3、精通react框架，有react-redux，react-router等实践经验；4、有iOS或者android开发经验优先。,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,中国移动开发区大学城体验店客服/营业员,移动开发,4250.0,天津市天昌电信有限责任公司,天津,0.0,无,职位描述岗位职责：1.中国移动营业厅内的业务受理、话费收取；2.移动业务的推广及销售；3.工作热情，积极主动。任职资格：1.35岁以下，男女不限；2.中专以上学历，有一定的电脑操作经验；3.欢迎有同行业工作经验的美女、帅哥；4.欢迎有志于携手世界500强投身祖国移动通讯事业的应届毕业生；工作时间：与营业厅营业时间一致公司提供有竞争力的薪酬，及专业培训工作地点：中国移动开发区大学城体验店（洞庭路、十三大街）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ios移动开发工程师,移动开发,17500.0,上海览逸信息科技有限公司,上海,1.0,本科, 职位要求:1、参与公司iOS客户端的产品的架构规划设计；2、负责基于iOS系统的应用程序开发测试；3、配合美术及策划人员能够优化iOS客户端的用户操作体验。任职要求：1.计算机及相关专业毕业，大学本科学历工作一年以上；2.熟悉C/Objective-C/Swift，IOS开发平台及框架原理；3.熟悉iOSSDK中的UI、网络、XML/JSON解析等开发技巧；4.熟悉IOS移动终端特性、开发特点，有良好的分析问题和解决问题的能力；5.有较强的学习能力及逻辑思维能力，良好的沟通能力和团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,移动开发经理（IOS方向）(J10618),移动开发,17500.0,天狮集团有限公司全球直销事业部,天津,0.0,无,工作职责:1、负责互联网软件应用的移动端核心模块的开发和维护；2、负责互联网软件应用的移动端可行性分析、重构和优化；3、负责移动端平台相关技术以及新技术的调研、实现；4、负责撰写开发相关文档，如各种设计文档等；5、责任心强，工作积极主动，具备强烈的进取心和自我驱动力，提交高质量的研发成果。					任职资格:1、计算机相关专业本科及以上学历；2、2年以上 iOS 开发经验，开发过2款以上成熟产品，有团队合作经验者优先；3、深入理解iOS底层机制，能对应用各方面性能有效提升；4、精通 Objective-C，了解 Swift，熟悉 iOS 上常用的方法和开源库，熟练掌握 UI，多线程，网络，存储等的开发调试工作；5、熟悉常用的软件架构和设计模式，掌握常用的数据结构和算法；6、熟悉 iOS 开发技术和各 iOS 版本特点，能熟练使用 iOS 开发及测试工具；7、有HTML，JS等前端经验优先；8、有网易严选、拼多多、美团、淘宝、京东等电商平台开发经验者优先。					,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
