,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Fpga,Dsp,Protel,Eda
0,EPS 硬件开发高级工程师,硬件开发,22500.0,苏州考诚企业管理咨询有限公司,上海,1.0,本科,"：上海，保定均可1、负责 DP-EPS 用 ECU 硬件开发，包括电路原理图设计、BOM 设计、PCB 布线、热容量设计、EMC 设计等Responsible for the development of DP-EPS ECU HW, including circuit principle diagram design, BOM, PCBwiring, heat capacity design, EMC design, etc2、Bachelor degree or above, major in computer / Automation / mechanical / vehicle engineering.本科以上学历 计算机/自动化/机械/车辆工程 相关专业 3、在TKP、ZF、Bosch、捷太格特、NSK、电装、万都、天合、马恒达、摩比斯等标杆公司EPS电控研发领域担任电控硬件方面高级工程师或技术带头人，具有10年以上工作经验Senior engineer or leading person with more than 10 years working experience of EPS HW electroniccontrol R&D benchmarking companies: TKP、ZF，Bosch，JTEKT, NSK, Denso, Mando, TRW, Mahindra,",0.0,0.0,0.0,0.0,0.0
1,硬件开发工程师,硬件开发,14583.33,成都新易盛通信技术股份有限公司,成都,1.0,无,岗位职责：1、从事通信产品硬件的设计开发、测试工作；2、参与产品总体设计、原理图设计、单板调试及验证；3、参与产品的可靠性测试、转出和生产的支持。任职要求：1、重点本科及以上学历，通信工程、电路与系统、电子信息工程、电子科学与技术等相关专业；2、具备扎实的模电、数电等专业知识，能熟练使用EDA软件进行电路设计；3、具备较强的英语阅读能力，能准确理解英文技术资料；4、良好的沟通能力及团队协作能力，抗压能力强。,0.0,0.0,0.0,0.0,1.0
2,IPC硬件开发工程师,硬件开发,17500.0,杭州涂鸦信息技术有限公司,杭州,2.0,本科,、负责IPC（网络摄像机）硬件的开发工作；2、负责IPC产品的单板开发工作，包括器件选型，总体设计，详细设计，原理图设计，单板调试以及指导PCB工程师完成画板等工作；3、独立分析解决软件提出的硬件相关BUG；4、对IPC产品在试产、量产等发现的硬件问题进行改进，确保生产可制造性；5、负责相关硬件文档的输出，如原理图，详细设计，调试记录，BOM表等。1、有3年以上硬件IPC产品开发经验，熟悉海思、Mstar、安凯等网络摄像机平台；2、熟悉cadence软件开发工具，有CIS库实际使用经验；3、至少两款独立开发的硬件产品，并且做到量产，有EMC设计经验；4、有网络摄像机，枪机，球机，门铃等产品开发经验者优先；5、可以熟练使用硬件测试工具，如万用表，示波器，频率计等。6、工作认真踏实，有良好的团队合作精神和沟通能力，有很优秀的英文资料阅读的能力，有较强的学习能力。,0.0,0.0,0.0,0.0,0.0
3,硬件开发培训讲师,硬件开发,10500.0,湖南凡亿智邦电子科技有限公司,长沙,2.0,大专,、负责公司硬件开发设计培训体系的搭建和完善；2、负责硬件课程开发和讲课（主要是原理图设计或PCB设计）3、开发/设计实际产品并进行产品的硬件测试。4、负责机构培训的支持；5、培训需求调研及培训计划的制定及实施；任职资格：1、全日制大专及以上毕业，电子类相关专业毕业，扎实的理论基础；2、2年及以上硬件开发从业经验，有开发过机器人、无人机、耳机、音箱、单片机等产品；3、能掌握AD、cadence、pads等EDA当中的任意一种制图工具4、有结构设计、EMC设计经验为佳。5、有培训或授课经验者优先考虑。6、语言表达能力强，沟通能力强，责任心强，热衷于技术传播和教育事业一经录用待遇从优！非诚勿扰！谢谢！薪资福利及待遇部分描述：1、大小周工作制，每天工作7.5小时2、享受全部法定节假日；3、公司员工团队旅游；4、提供PK竞岗平台，有能力者上；5、公司给员工购买社会保险；,0.0,0.0,0.0,0.0,1.0
4,嵌入式硬件开发工程师,硬件开发,15000.0,西安环太科技发展有限公司,西安,0.0,无,、负责嵌入式代码框架的搭建、优化与扩展；2、负责嵌入端代码核心代码编写、优化、调试及维护；3、从事硬件开发工作，负责电路原理图和PCB的设计与分析、嵌入式系统软件编写与调试等；4、负责板卡、整机的调试，EMC测试，并进行故障分析和处理；5、负责硬件技术平台建设和在线产品维护。职位要求：1、电子、通信、计算机相关专业，本科及以上学历；有3年及以上工作经历，具备3年从事嵌入式软件设计经验；2、能独立进行数字电路及模数混合电路的设计；3、熟练掌握嵌入式系统软件设计方法和C/C++语言；4、能够使用开发工具进行逻辑设计和仿真；5、能正确理解并熟练应用常用元器件的各项指标。6、熟练Linux操作系统以及驱动开发；7、具备硬件电路知识，能绘制电路图，能对电路图进行持续改进。有原理图设计、PCB设计者优先；8、熟练掌握物联网技术，对NB-Iot有深入了解，能创新将其运用到物联网通信实际场景；9、具备需求分析和系统设计能力、有较强的逻辑分析和独立解决问题的能力。,1.0,0.0,0.0,0.0,0.0
5,嵌入式硬件开发,硬件开发,12500.0,广州市英泽电子有限公司,广州,0.0,无,岗位职责：1、负责硬件方案设计和MCU软件开发编程，智能控制类、门禁一卡通类嵌入式产品开发；2、负责公司现有产品的维护和升级，新产品的设计、开发和创新；3、负责EMI及ESD的技术整改；4、负责硬件Bug跟进及调试处理；5、参与产品设计工作，能提出完善的硬件解决方案；任职要求：1、有5年以上的电子硬件设计开发经验，有独立承担产品开发的能力，有丰富的开发经验；2、精通C语言，有较强的模电、数电知识以及硬件调试能力，能独立完成PCB设计、EMC、软硬件调试，熟悉STM32/PIC等单片机开发，对MCU、Cortex-M0或ARM系列等方案开发有一定经验；3、精通无线RF、蓝牙、WIFI等电子产品设计开发，熟悉MCU架构、底层硬件工作原理和外围接口电路；4、负责硬件开发及过程的文档编写，负责原有产品的硬件设计变更和版本更替；5、熟悉Altium Designer或PADS原理图和PCB开发软件；6、熟练使用示波器、频谱仪、万能表等测试仪器、能独立开展软硬件联调；7、动手能力强，有专研精神，吃苦耐劳，有强烈的责任感，具备良好的团队合作能力。面试地点：天河路549号岗顶龙苑大厦（广州新赛格电子城）A2座1801室（18楼）联系电话：020-61006535-804（翁小姐）乘车路线：地铁：岗顶A出口（往摩登百货方向前行两百米左右）公交：BRT岗顶站注：如时间有冲突，可电话联系更改面试时间！①底薪+提成+奖金，有能力者待遇不菲。②公司每年会举办1-2次集体旅游，可申请出国游机会③公司每年会提供1-2次岗位晋升调动机会，有能力者可获得不错的发展空间。广州市英泽电子有限公司，是一家专业致力于一卡通产品的研发、生产、销售于一体之企业，拥有十多年行业产品开发经验。目前，我公司主要生产：射频读卡模块、门禁读卡器、门禁一体机、门禁控制器、指纹、消费、考勤、巡更、酒店锁、通道闸机、停车场管理设备等产品。一卡通产品不仅具有优良的性能价格比，更在产品稳定性、灵敏度及一致性等诸多方面成为行业典范。多年来，产品行销欧美、中国香港及东南亚地区，屡创佳绩，产品遍及广东珠三角、华东、华中及东北地区，赢得了广大客户信赖。“英泽电子”始终以人为本，以质取胜，通过不断的技术创新和完善的售后服务，实现客户的价值。英泽电子在全国范围内设有多个办事处，在广州、深圳、东莞等珠三角地区呈点状式发展，以北京、上海、重庆为据点，辐射全国。【广州市英泽电子有限公司】如需了解我公司更多信息，可登陆公司网站:www.gzfcard.comwww.门禁厂家.com期待你的加入！,1.0,0.0,0.0,0.0,0.0
6,硬件开发工程师,硬件开发,11500.0,法泰电器（江苏）股份有限公司,苏州,3.0,大专,、大专以上学历，通讯、计算机、电子相关专业；2、硬件通讯测试，熟悉主流通讯协议；3、精通C、C++编程语言；熟悉Python或Java编程语言；4、配合硬件产品，开发适合的硬件通讯接口软件及相关通讯设备的选型应用；5、串口、硬件通讯类项目、相关编程经验者优先；,1.0,0.0,0.0,0.0,0.0
7,硬件开发工程师,硬件开发,12500.0,深圳市金九天视实业有限公司,深圳,3.0,大专,、按照项目要求进行硬件电路原理的设计，组织评审PCB文件及生产后的调试工作；2、项目产品硬件方案选型；3、项目产品相关文档编写；4、配合系统软件工程师进行驱动部分调试。任职要求：1、电子通信类相关专业，本科以上；2、熟练掌握数字电路，模拟电路；熟练使用电路设计软件；3、较强的设计电路及分析能力；4、两年以上安防产品或者视频会议产品开发经历优先；5、有X86平台及其他音视频监控平台方案硬件开发经验者优先。,0.0,0.0,0.0,0.0,0.0
8,嵌入式硬件开发,硬件开发,5650.0,郑州海之角软件科技有限公司,郑州,0.0,中专,岗位职责：1、参与项目需求分析，将用户需求转化为嵌入式硬件设计需求；2、负责产品的硬件的设计开发，包括原理图，PCB设计、器件选型、嵌入式软件编写及功能实现；3、利用开发工具测试与调试电路；4、参与项目需求分析，将用户需求转化为嵌入式硬件设计需求。5、应届生从助理做起，协助工程师工作，实习期三个月任职要求：1、电子、通信、自动化、计算机等相关专业，大专以上学历；2、精通模拟及数字电路，熟练运用常用仪器进行电子电路测量分析；4、熟练STM32等单片机的外围电路设计；5、熟练Modbus RTU通讯协议，能按照协议和上位机通讯。薪资福利：1.五险一金、双休、包住法定假期休息；2.宿舍：包住，4间--6人间，套房，独立卫生间和厨房，含空调、洗浴、衣柜、鞋架等；3.转正：工作满3个月转正；4.慰问：公司会定期组织文体活动、外出旅游、聚餐等集体活动，国家大型节假日均给予员工以福利；5.其他：公司提供的其他社会工享受的福利。,0.0,0.0,0.0,0.0,0.0
9,嵌入式硬件开发,硬件开发,5000.0,河南六凹六物联网科技有限公司,郑州,0.0,大专,"岗位职责：1、设计单片机电路；2、负责单片机工作所需的外围电路设备的驱动；3、编写单片机软件，并对软件进行仿真调试；4、能够独立完成项目模块设计。任职要求：1、计算机、通信、电子类及相关专业；2、对单片机应用场合有充分的了解，能够在应用项目中选择合适的单片机和外围芯片的型号；3、熟悉KEIL\IAR等开发环境的使用,熟悉STM32/AVR/51/430等MCU底层软件(C语言)开发，并具有良好的代码编写习惯及文档编写能力；4、能够进行PCB版图设计，对控制、信号系统有所了解，知道必要的算法；5、对模拟、数字电路、总线等比较熟悉，能够使用它们进行单片机的外围接口。其他：新品开发过程中同时采用按项目阶段完成率奖励和销售提成的双轨激励方式。公司缴纳五险一金，五天7.5小时工作制，上下班有班车接送，中午提供免费的工作餐，有车补、房补、工龄、全勤奖、生日礼品、一年一次旅游、体检等福利。",1.0,0.0,0.0,0.0,0.0
