,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Linux,Mysql,Shell,Python,Sql,Oracle,Nginx,Tomcat
0,商户运维/商户运维技术支持,运维/技术支持,6500.0,南京万商商务服务有限公司,南京,0.0,无,、对新开发的客户进行pos机安装。2、定期巡视已安装的机具的使用情况，进行撤机、移机、调试、系统升级、操作培训等工作。3、负责所辖区域POS商户耗材的配送工作。4、学习对pos机进行简单的故障排除，做好客户的咨询、投诉和日常维护工作，保证商户能够正常刷卡交易。5、根据客户需求进行二次开发，以及开发周边商户。任职资格：1、大专以上学历，有相关岗位经验；2、性格开朗，沟通能力强；3、能吃苦耐劳，有一定的创新精神；4、具有良好的团队合作精神，服从领导给予的工作；5、熟悉本地交通。福利待遇：1、优厚的薪资待遇：基本薪资+绩效奖金+福利补贴；2、五险一金；3、良好的培训机制、晋升机制，丰富的培训项目，公司定期进行系统性的培训项目，并可参加集团公司举办的各类培训；4、年终奖金；5、行业资格考试报销补贴、定期体检、公司旅游、节日福利、生日福利；6、地处新街口南京国际金融中心，地势优越，拥有便利的交通和舒适的办公环境；7、作息时间：五天工作日制（9：00-12：30，14：00-18：00），周末双休；8、其它福利：享受法定假期，包括年假、婚假、产假、丧假等。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,售后技术支持工程师\运维工程师,运维/技术支持,7000.0,上海水顿智能科技有限公司,上海,2.0,大专,"任职要求：1、大专及以上学历，计算机或者电气自动化专业背景；2、对数据库MY SQL或者SQL Server能够熟练操作，包括数据增删改查、写存储过程、数据备份及集成等3、有做过项目工程师的背景优先考虑4、沟通亲和力要好岗位职责： 一．对外1.接听售后服务电话2.与业主保持良好的沟通3.及时反馈业主维护的相关信息4.定期给业主提供维护月报5.收集业主有关产品提升的信息二．对内1.负责对各项目客户提出的运维需求进行基本分类，并移交给对应的硬件/软件部门负责人，全程跟踪直至问题完全解决；2.负责对各项目客户提出的运维需求中的部分软件问题进行维护处理；3.负责对移交其他部门处理的运维问题的维护进度进行跟踪，并在必要时和客户进行沟通；4.负责维保合同外的维护内容报价清单的制作，并在维保到期时告知客户以及相对应的项目经理，以制定后续维保相关合同；5.负责部分项目软件平台部分模块的日常巡检工作，并将发现的问题第一时间移交相关负责人进行维护,并跟踪直至解决；6.负责维护部门的流程和规范的建立，同时对日常工作标准化的制定",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,技术支持工程师(运维服务),运维/技术支持,5000.0,用友网络科技股份有限公司重庆分公司,重庆,2.0,本科,工作职责:1、复杂环境下系统的安装与部署；2、解决产品运行中出现的技术环境问题；3、解决产品运行中出现的效率问题；4、提供技术解决方案。任职要求：1、掌握与技术支持相关的操作系统、数据库、网络、服务器硬件、中间件等相关知识，熟悉Windows、linux操作系统，熟悉Oracle、SQLserver数据库，熟悉WAS、WebSphere、Weblogic中间件；2、了解垂直与水平集群部署及配置方法，熟悉OracleRAC；3、能够检查出常见的网络、系统环境、中间件问题并解决问题或给出解决方案；提供各类4、能够根据客户要求与实际情况，提供各类IT技术方案、系统资源需求方案等；5、有较高的执行力、提炼与总结能力，能在较高强度压力下与客户展开良好的沟通与交流，具有主动、快速的学习能力。6、由于岗位特性，能适应不定期发生的夜间服务器、数据库问题解决工作方式；7、熟悉人力资源、供应链或财务管理相关业务知识者优先，有用友软件使用经验者优先。,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,技术支持/实施运维,运维/技术支持,4500.0,沈阳聚凯科技有限公司,沈阳,0.0,大专,职位描述:1、设备软硬件技术支持服务，为用户解决问题，提高用户满意度。2、熟练掌握设备安装、调试及系统安装与维护技术，熟悉网络调测技术。3、负责产品的售后技术服务，提高客户满意度。任职要求1、大专及以上学历，计算机类相关专业优先;2、熟悉电脑、打印机等办公硬件设备，具备常用办公软件，基础的网络技术；4、拥有良好的沟通能力、吃苦耐劳，有上进心，肯学习，性格开朗。福利待遇：1、享受法定休假，公司实行7.5小时工作制，五险一金，一年至少两次公费旅游；2、可接受转行求职人员，由项目负责人带领学习，但要求勤奋好学，积极主动。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,云运维工程师/技术支持工程师,运维/技术支持,12500.0,上海云角信息技术有限公司,上海,3.0,大专,基于云计算平台的售后支持工作   2. 处理各类疑难报障、任务分派并追踪处理结果  3.按照流程，定期完成升级、巡检、版本发布等工作  4.负责回答客户提出的技术咨询，及时解答或升级相关问题  5.了解公有云平台  6.熟悉windows、linux系统运维管理  岗位要求：1.熟练掌握Linux/Windows操作系统的管理2.熟悉Shell、Powershell、Python（或者Perl）中的一种或多种3. 有丰富的系统故障排查和解决经验，突出的分析和解决问题的能力；4.计算机、软件相关专业5. 3年以上相关运维工作经验，有公有云/私有云平台管理经验6.有大型互联网公司自动化运维经验优先；对新技术充满热情，了解时下热门的相关技术,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,技术支持（电力运维）工程师,运维/技术支持,9000.0,珠海康晋电气股份有限公司,珠海,2.0,本科,						职位描述：1、负责公司电力运维产品的规划、推广宣传、解决方案编写和技术投标工作；2、产品解决方案及技术宣传推广，负责各类技术宣传资料（文字、PPT、音频和视频等）的编制；3、向销售部和项目部提供技术服务；4、项目售前技术咨询，针对解决方案提供技术咨询和培训；5、负责策划和组织针对目标客户的技术宣讲；6、指导制定投标方案；7、对所负责电力运维产品进行市场分析，制定产品发展策略；8、遵守公司规章制度，完成上级领导安排的其他工作。任职要求：1、本科或以上学历，电力系统、电气自动化等电力相关专业，具有2年以上配电网相关行业技术支持经验；2、熟悉配网运维，试验等专门知识；3、具有较好的技术支持、标书编写、解决方案编写能力；4、具备品牌建立、产品推广能力，良好的市场方案策划、解决方案提供、市场竞争策略制定的能力及经验；5、具有很好的客户需求理解能力，能够深入理解和分析客户需求，能有效地对客户期望值进行管理；6、具备较强的沟通表达能力和方案宣讲能力，有较强的服务拓展意识。																		,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,技术支持/软件实施/售后运维,运维/技术支持,5000.0,北京麦迪克斯科技有限公司,合肥,2.0,本科,岗位职责1、负责本公司网络信息系统产品的安装，调试，维护服务；2、提供技术支持、培训，及客户培训工作；3、收集客户需求，处理客户协调工作；4、完成项目实施、验收工作；5、负责本区域内技术售后问题的处理和解决。任职要求：1、本科及以上学历，生物医学工程、计算机、软件工程、电子信息等相关专业；2、熟悉SQL SERVER、ORACLE数据库，SQL语句，熟悉计算机软硬件、网络体系结构、服务器和操作系统等；3、具有良好的沟通表达能力、组织协调能力和业务理解能力；4、具有较强的工作主动性和团队协作精神，有责任心、抗压能力强，适应出差；5、具有软件项目或医疗行业实施经验者优先。6、欢迎优秀的应届毕业生，实习生需保证周一至周五工作时间。,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,急聘运维工程师（技术支持）,运维/技术支持,3000.0,掘创（厦门）信息科技有限公司,厦门,0.0,大专,岗位职责：1、配合公司对相关设备定期做巡检工作；2、负责对电脑的日常维护；3、负责对应用服务器的日常运行与维护；4、负责对客服软件及操作系统的日常检查和维护，及时解决发现问题；5、周期做数据备份，测试数据备份的正确性和完整性，以增强服务器的安全性。任职资格：1、专科或以上学历，2、较强的语言沟通能力和文档编写能力；3、能够使用SQL语言实现数据库操作优先考虑；本岗位接收应届实习生，提供转正机会。,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,IT运维/技术支持(杭州）,运维/技术支持,7000.0,vivo智能手机（维沃移动通信有限公司）,杭州,1.0,大专,岗位职责：1、负责公司电脑及周边设备维护、操作系统安装、办公软件安装、病毒及木马防、查杀；2、负责用户电脑各类软、硬件故障的分析检测、维修记录，各类办公设备的安装与调试；3、负责公司会议室设备安装、调试、维护、异常解决；4、给用户培训计算机基础使用以及办公设备的使用方法。任职要求：1、熟悉主流操作系统安装、配置、维护、故障排查；2、熟悉PC、Laptop硬件配置及故障排查；3、熟悉常用办公软件安装、配置、维护、故障排查；4、熟悉windows操作系统封装方法；5、对网络有一定认识，能处理简单的网络故障；6、具备良好的服务意识及沟通能力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,IT技术支持/运维专员（双休+五险一金）,运维/技术支持,5500.0,合肥优创云软件科技有限公司,合肥,0.0,大专,"任职资格:1、大专及以上学历，专业不限，经验不限，可从 实习生做起；2、对计算机感兴趣,有一定的计算机基础,有志于进入IT行业。岗位职责:1、负责软、硬件产品的系统测试、安装、调试、维护工作；2、提供售前、售后的方案及技术支持。福利待遇：1、转正底薪4500-6500，项目奖金和提成2000-4000，3、提供住宿，餐补，五险一金，双休4、实习期满后会通过考核，考核通过可转为正式员工5、8小时工作制、周末双休、法定节假日正常休息6、公司有完善的考核机制、晋升机制、加薪机制",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
